S.N,NAMES,SPECIES,HEIGHT,DIAMETER,CROWN.DIAMETER,WOOD.DENSITY,COUNT,PLOT,BA,VOLUME,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha,VOL.m3.ha,LIVE.CROWN.LEAVES,TREE.BRANCHES,TREE.BARK,TREE.STEM,FOLIAGE.BIOMASS,FOLIAGE_LEAVES
37,Redwood,Sequoia sempervirens,23.5,54.9,5.2,0.48,1,P1,0.236719792,5.562915108,1781.205231,1.781205231,474.9880616,0.474988062,837.1664585,0.837166458,126.6634831,0.126663483,1.483444029,379.1364396,470.9065162,399.349729,901.649089,197.934781,676.0925216
38,Magnolia,Magnolia grandiflora,24.5,40.2,6.2,0.6,1,P1,0.126923485,3.109625378,1255.353502,1.255353502,334.760934,0.334760934,590.0161461,0.590016146,89.26958239,0.089269582,0.829233434,268.0237012,180.820549,292.815146,982.2187905,77.98611387,256.9582761
39,Hemlock,Tsuga canadensis,24.1,50.2,3.4,0.45,1,P1,0.197923479,4.769955838,1439.371062,1.439371062,383.8322832,0.383832283,676.5043991,0.676504399,102.3552755,0.102355276,1.271988224,118.2408457,572.7491789,131.6863209,948.686714,27.16241622,212.6241432
40,Locust,Robinia pseudoacacia,22.1,62.1,4.3,0.69,1,P1,0.302881733,6.693686302,3040.699057,3.040699057,810.8530819,0.810853082,1429.128557,1.429128557,216.2274885,0.216227489,1.784983014,223.4086165,907.7134895,426.8311909,150.4946927,91.75722794,929.6934311
41,Spruce,Picea abies,24.1,65.3,4.2,0.43,1,P1,0.334900845,8.071110375,2300.591126,2.300591126,613.4909669,0.613490967,1081.277829,1.081277829,163.5975912,0.163597591,2.1522961,443.4845201,940.2978246,468.2703438,337.7095485,176.4707979,85.51468224
42,Spruce,Picea abies,23.7,45.2,3.3,0.43,1,P1,0.160459986,3.802901677,1103.735185,1.103735185,294.3293827,0.294329383,518.755537,0.518755537,78.48783539,0.078487835,1.014107114,447.4618402,664.4558646,295.5740732,914.1533176,54.8182258,57.57306837
43,Oak,Quercus robur,34,59.8,8.4,0.7,1,P1,0.280861525,9.549291844,4361.891771,4.361891771,1163.171139,1.163171139,2050.089132,2.050089132,310.1789704,0.31017897,2.546477825,122.8437071,183.0559262,287.3991491,1012.328972,101.6880959,398.4598212
44,Cherry,Prunus avium,44,71.2,13,0.72,1,P1,0.398152887,17.51872701,8106.29381,8.10629381,2161.678349,2.161678349,3809.958091,3.809958091,576.4475598,0.57644756,4.671660535,288.0143598,151.4919585,316.6207395,71.48469173,199.2235745,873.0234067
45,Cherry,Prunus avium,35.7,63.5,5.8,0.72,1,P1,0.316692174,11.30591063,5286.765794,5.286765794,1409.804212,1.409804212,2484.779923,2.484779923,375.9477898,0.37594779,3.014909501,121.1708438,971.4222774,151.7329879,396.3151697,74.22916634,606.6443032
46,Poplar,Populus tremula,29.9,63.1,7.8,0.42,1,P1,0.312714918,9.350176052,2595.486419,2.595486419,692.1297116,0.692129712,1219.878617,1.219878617,184.5679231,0.184567923,2.493380281,218.8658311,850.5741709,412.1228341,1069.816583,115.1733738,850.9351519
47,Fir,Abies alba,27.9,44.3,3.4,0.42,1,P1,0.154133604,4.300327556,1216.175213,1.216175213,324.31339,0.32431339,571.6023499,0.57160235,86.48357068,0.086483571,1.146754015,404.0672525,684.1327297,128.2237938,710.5979294,168.8982388,474.8902432
48,Cedar,Cedrus libani,21.7,46.9,10.4,0.56,1,P1,0.172756965,3.74882615,1408.512378,1.408512378,375.6033007,0.375603301,662.0008175,0.662000817,100.1608802,0.10016088,0.999686973,258.1859603,836.5637084,181.9543138,489.2802069,127.6824411,699.1098144
49,Willow,Salix alba,24.9,42,10.8,0.47,1,P1,0.138544236,3.449751477,1094.600775,1.094600775,291.8935399,0.29189354,514.4623641,0.514462364,77.83827731,0.077838277,0.919933727,466.767054,210.1257219,220.1369482,1321.842116,99.01423034,467.36796
50,Fir,Abies alba,21.3,49.4,5.8,0.42,1,P1,0.191665426,4.082473578,1156.005416,1.156005416,308.268111,0.308268111,543.3225457,0.543322546,82.2048296,0.08220483,1.088659621,138.0622398,980.9620355,345.931908,1316.080818,134.8941567,587.201502
51,Cypress,Cupressus sempervirens,26.9,60.3,8.1,0.47,1,P1,0.285577841,7.682043917,2391.113504,2.391113504,637.6302677,0.637630268,1123.823347,1.123823347,170.0347381,0.170034738,2.048545045,129.8115267,704.3443127,96.16448708,653.7702409,102.9702811,691.4835266
52,Maple,Acer saccharum,25.7,45.1,4.3,0.71,1,P1,0.159750772,4.105594836,1940.396804,1.940396804,517.4391478,0.517439148,911.986498,0.911986498,137.9837727,0.137983773,1.09482529,201.1382066,749.0612229,498.3630985,997.7082709,149.644211,687.9738456
53,Poplar,Populus tremula,22,44.2,3.6,0.42,1,P1,0.153438527,3.375647589,960.2297957,0.960229796,256.0612789,0.256061279,451.308004,0.451308004,68.2830077,0.068283008,0.900172691,42.64706525,355.9533901,30.08535691,1055.202026,55.35553803,346.9006197
54,Locust,Robinia pseudoacacia,33.9,63.9,8.9,0.69,1,P1,0.320694563,10.8715457,4881.399556,4.881399556,1301.706548,1.301706548,2294.257792,2.294257792,347.1217462,0.347121746,2.899078854,155.9400579,692.392099,359.6977338,780.8275491,30.82494533,865.7951372
55,Willow,Salix alba,21.2,46.1,4,0.47,1,P1,0.166913603,3.538568385,1122.097462,1.122097462,299.22599,0.29922599,527.3858073,0.527385807,79.79359732,0.079793597,0.943618236,372.3677071,685.9319889,78.74141712,1124.469668,28.25633719,830.7034528
56,Locust,Robinia pseudoacacia,35.2,75.8,7.4,0.69,1,P1,0.45126151,15.88440516,7067.595828,7.067595828,1884.692221,1.884692221,3321.770039,3.321770039,502.5845922,0.502584592,4.235841377,294.2090564,463.0414818,418.2254941,144.5114357,81.58006715,717.5298064
57,Magnolia,Magnolia grandiflora,35.6,71.6,8.6,0.6,1,P1,0.402639081,14.33395128,5578.225956,5.578225956,1487.526922,1.487526922,2621.766199,2.621766199,396.6738458,0.396673846,3.822387008,328.979757,850.5256765,462.0650125,184.4228305,78.94460207,598.2908491
58,Oak,Quercus robur,26,40.6,8.2,0.7,1,P1,0.129461892,3.366009183,1576.4767,1.5764767,420.3937868,0.420393787,740.9440492,0.740944049,112.1050098,0.11210501,0.897602449,65.79344109,936.1212836,460.8426601,1419.355476,22.12883556,742.336328
59,Walnut,Juglans regia,20.1,49.9,3.8,0.61,1,P1,0.195564928,3.930855054,1603.646351,1.603646351,427.6390268,0.427639027,753.7137848,0.753713785,114.0370738,0.114037074,1.048228015,69.81422278,333.187841,50.76744862,1063.754666,199.9125092,476.2727083
60,Cypress,Cupressus sempervirens,22.9,40.7,4.4,0.47,1,P1,0.13010042,2.979299626,948.6593492,0.948659349,252.9758265,0.252975826,445.8698941,0.445869894,67.46022039,0.06746022,0.7944799,20.06835241,904.3309217,288.3550214,29.75231257,87.09530311,589.0343013
61,Birch,Betula pendula,21.6,51.1,4.7,0.67,1,P1,0.205083954,4.429813403,1974.824606,1.974824606,526.619895,0.526619895,928.1675649,0.928167565,140.431972,0.140431972,1.181283574,297.5763041,91.77385942,405.004083,932.4211953,74.90433805,520.0923546
62,Cedar,Cedrus libani,23.7,49.7,5.7,0.56,1,P1,0.194000415,4.597809834,1719.0505,1.7190505,458.4134668,0.458413467,807.9537352,0.807953735,122.2435911,0.122243591,1.226082622,320.128143,101.8950717,245.3506472,738.6746581,152.6412573,471.8646864
63,Willow,Salix alba,21.7,58.6,3.9,0.47,1,P1,0.269702588,5.852546153,1833.595018,1.833595018,488.9586715,0.488958671,861.7896584,0.861789658,130.3889791,0.130388979,1.560678974,206.1769211,853.2380843,452.6139667,766.559234,160.6032843,840.6195438
64,Yew,Taxus baccata,32.7,57.4,6.3,0.64,1,P1,0.258769845,8.461773941,3551.741415,3.551741415,947.131044,0.947131044,1669.318465,1.669318465,252.5682784,0.252568278,2.256473051,162.5504805,637.5935353,411.4276028,-256.480305,170.5105583,744.0898242
65,Locust,Robinia pseudoacacia,31.7,72.8,3.7,0.69,1,P1,0.41624846,13.19507619,5897.202882,5.897202882,1572.587435,1.572587435,2771.685355,2.771685355,419.3566494,0.419356649,3.518686984,256.8922909,700.1687398,372.9641499,745.1809851,94.73300631,877.8649736
66,Cherry,Prunus avium,21,50,4.2,0.72,1,P1,0.196349541,4.123340358,1975.363664,1.975363664,526.7636438,0.526763644,928.4209221,0.928420922,140.470305,0.140470305,1.099557429,296.0708433,466.930361,352.7452454,511.4935876,30.80872054,671.72969
67,Walnut,Juglans regia,28.1,47.4,6.9,0.61,1,P1,0.176460118,4.958529309,2011.655803,2.011655803,536.4415475,0.536441547,945.4782274,0.945478227,143.0510793,0.143051079,1.322274482,421.4738001,362.9094729,180.6893402,1406.196895,67.18092186,919.1103483
68,Poplar,Populus tremula,20.6,45.6,3.4,0.42,1,P1,0.163312553,3.364238582,957.0621733,0.957062173,255.2165795,0.25521658,449.8192214,0.449819221,68.05775455,0.068057755,0.897130288,208.6491406,121.7230741,68.39652933,1023.987985,101.1352946,311.3842929
69,Ash,Fraxinus excelsior,31.9,55.1,5.9,0.67,1,P1,0.238447668,7.606480603,3347.277354,3.347277354,892.6072943,0.892607294,1573.220356,1.573220356,238.0286118,0.238028612,2.028394827,212.7950092,58.44578439,359.1130709,-148.4218259,78.24096704,337.4494312
70,Walnut,Juglans regia,39.2,79.9,11.7,0.61,1,P1,0.501398973,19.65483974,7714.637035,7.714637035,2057.236543,2.057236543,3625.879407,3.625879407,548.5964114,0.548596411,5.241290597,392.4510212,362.912017,43.61341882,680.7675824,165.4024951,136.7617765
71,Yew,Taxus baccata,26.7,48.9,4.1,0.64,1,P1,0.187805194,5.014398686,2131.339349,2.131339349,568.3571596,0.56835716,1001.729494,1.001729494,151.5619092,0.151561909,1.337172983,314.9076518,827.7350271,459.9946636,993.5359941,21.03944428,984.2090118
72,Hemlock,Tsuga canadensis,39.1,88.3,13.3,0.45,1,P1,0.612366309,23.94352267,6950.72788,6.95072788,1853.527435,1.853527435,3266.842104,3.266842104,494.2739826,0.494273983,6.384939378,328.5173138,534.8404726,107.9593129,1448.636576,20.75328198,158.5276543
73,Walnut,Juglans regia,27.4,59.3,8.4,0.61,1,P1,0.276184479,7.567454718,3039.095125,3.039095125,810.4253668,0.810425367,1428.374709,1.428374709,216.1134311,0.216113431,2.017987925,90.29283029,268.4379445,199.2667051,1511.171334,189.8913989,635.1029134
74,Magnolia,Magnolia grandiflora,28.3,55.9,4.6,0.6,1,P1,0.245422003,6.945442699,2750.312829,2.750312829,733.4167545,0.733416754,1292.64703,1.29264703,195.5778012,0.195577801,1.852118053,230.4757233,138.9912015,93.73856839,1676.054989,36.62922158,66.37654653
75,Walnut,Juglans regia,28.1,44.8,7.2,0.61,1,P1,0.157632553,4.429474739,1801.893152,1.801893152,480.5048405,0.480504841,846.8897814,0.846889781,128.1346241,0.128134624,1.181193264,457.4872325,462.1797016,110.4664831,1488.579583,195.6797967,962.0201518
76,Locust,Robinia pseudoacacia,32.8,57.2,6.4,0.69,1,P1,0.256969713,8.428606576,3807.690991,3.807690991,1015.384264,1.015384264,1789.614766,1.789614766,270.7691371,0.270769137,2.24762842,91.86584712,584.0062793,275.295049,1108.560993,54.86038975,499.5783074
77,Larch,Larix decidua,24.2,57.4,4.8,0.59,1,P1,0.258769845,6.262230256,2445.493083,2.445493083,652.1314888,0.652131489,1149.381749,1.149381749,173.9017303,0.17390173,1.669928068,481.5709236,939.4104751,229.5501759,221.0850199,14.47747823,254.8879749
78,Yew,Taxus baccata,35.9,65.6,5.4,0.64,1,P1,0.337985104,12.13366524,5049.114217,5.049114217,1346.430458,1.346430458,2373.083682,2.373083682,359.0481221,0.359048122,3.235644063,391.921536,567.9886782,470.9559251,549.2067476,191.3859182,660.8426031
79,Cherry,Prunus avium,21.1,43.6,5.2,0.72,1,P1,0.149301049,3.15025214,1518.968907,1.518968907,405.0583753,0.405058375,713.9153865,0.713915387,108.0155668,0.108015567,0.840067237,275.4895829,100.5485894,269.7876177,1012.994941,66.07763726,592.2642834
80,Hemlock,Tsuga canadensis,24.7,44.5,4.6,0.45,1,P1,0.155528471,3.841553241,1165.256262,1.165256262,310.7350032,0.310735003,547.6704432,0.547670443,82.86266752,0.082862668,1.024414198,424.506414,816.5920841,275.5635786,984.9579227,104.4623453,124.1702275
81,Fir,Abies alba,24.1,42,5.7,0.42,1,P1,0.138544236,3.338916088,950.0306572,0.950030657,253.3415086,0.253341509,446.5144089,0.446514409,67.55773562,0.067557736,0.890377624,485.853849,951.6660756,260.6150107,212.0905642,121.6881193,300.2148588
82,Oak,Quercus robur,24.2,41.6,5.8,0.7,1,P1,0.135917865,3.289212322,1541.362291,1.541362291,411.0299442,0.411029944,724.4402767,0.724440277,109.6079851,0.109607985,0.877123286,370.798765,278.6253947,454.605497,1521.281894,135.7079879,508.7364681
83,Cedar,Cedrus libani,23,45.5,5.2,0.56,1,P1,0.162597055,3.73973226,1405.177518,1.405177518,374.7140049,0.374714005,660.4334336,0.660433434,99.92373463,0.099923735,0.997261936,339.6377826,588.6596996,366.581747,-6.481320919,60.10908076,659.4384391
84,Beech,Fagus sylvatica,24.9,54.2,5.9,0.67,1,P1,0.230721706,5.744970481,2545.196057,2.545196057,678.7189485,0.678718949,1196.242147,1.196242147,180.9917196,0.18099172,1.531992128,145.8868782,304.7996629,333.9221672,773.556134,53.11276724,710.8198485
85,Locust,Robinia pseudoacacia,23.7,47.1,3.6,0.69,1,P1,0.174233514,4.129334281,1897.679968,1.897679968,506.0479915,0.506047991,891.909585,0.891909585,134.9461311,0.134946131,1.101155808,98.28970693,942.8750168,181.4357578,517.7706723,46.00319994,798.3661363
86,Beech,Fagus sylvatica,25.2,47.4,3.1,0.67,1,P1,0.176460118,4.446794968,1982.213011,1.982213011,528.5901362,0.528590136,931.6401151,0.931640115,140.9573697,0.14095737,1.185811991,431.4749156,882.5392229,228.6997855,691.9217184,108.3052467,457.363135
87,Willow,Salix alba,23.7,67.9,9.5,0.47,1,P1,0.362100755,8.581787885,2664.076911,2.664076911,710.4205097,0.71042051,1252.116148,1.252116148,189.4454693,0.189445469,2.288476769,348.5931842,857.8987286,469.2583933,1306.554879,36.71610582,723.0498751
88,Cypress,Cupressus sempervirens,28.4,44.1,3.7,0.47,1,P1,0.15274502,4.337958574,1368.880069,1.368880069,365.034685,0.365034685,643.3736323,0.643373632,97.34258267,0.097342583,1.156788953,73.54608299,751.6440574,456.0532962,-101.2465316,167.6043657,473.9417285
89,Birch,Betula pendula,22.7,46,7.6,0.67,1,P1,0.166190251,3.772518706,1688.296016,1.688296016,450.212271,0.450212271,793.4991277,0.793499128,120.0566056,0.120056606,1.006004988,235.8132741,776.2137477,451.3890619,-109.7185063,96.37271618,67.41457796
90,Beech,Fagus sylvatica,33.7,55.3,8.1,0.67,1,P1,0.240181827,8.094127568,3556.561404,3.556561404,948.4163745,0.948416374,1671.58386,1.67158386,252.9110332,0.252911033,2.158434018,54.61294941,656.4166758,312.178387,778.6368452,84.08271494,483.2195383
91,Cherry,Prunus avium,29.1,53.9,8.7,0.72,1,P1,0.22817466,6.639882601,3144.795487,3.144795487,838.61213,0.83861213,1478.053879,1.478053879,223.6299013,0.223629901,1.77063536,111.6021576,148.6645936,233.7897691,96.83376886,197.0644189,391.9605953
92,Cedar,Cedrus libani,25.3,50.3,5.3,0.56,1,P1,0.198712804,5.027433939,1875.654806,1.875654806,500.1746148,0.500174615,881.5577586,0.881557759,133.3798973,0.133379897,1.34064905,412.5343469,676.494756,70.30830543,941.4601445,192.910738,885.7412323
93,Cypress,Cupressus sempervirens,21.3,48.6,7.8,0.47,1,P1,0.185507905,3.951318368,1249.669194,1.249669194,333.2451185,0.333245118,587.3445213,0.587344521,88.86536493,0.088865365,1.053684898,232.5062797,836.8127702,64.10873771,1318.366402,52.54405327,93.48288926
94,Walnut,Juglans regia,27.8,48.1,5.7,0.61,1,P1,0.181710504,5.051552025,2048.480778,2.048480778,546.2615408,0.546261541,962.7859657,0.962785966,145.6697442,0.145669744,1.34708054,315.171639,839.8519046,224.6946158,1099.786024,199.4929913,778.5341436
95,Locust,Robinia pseudoacacia,36.2,56.7,9.4,0.69,1,P1,0.25249687,9.1403867,4121.216905,4.121216905,1098.991175,1.098991175,1936.971945,1.936971945,293.0643132,0.293064313,2.437436453,106.2104271,533.7361754,255.9846789,1040.52288,95.13016498,65.8132336
96,Cherry,Prunus avium,25.4,55.3,4.8,0.72,1,P1,0.240181827,6.100618405,2895.267828,2.895267828,772.0714207,0.772071421,1360.775879,1.360775879,205.8857122,0.205885712,1.626831575,178.9709437,162.4555148,341.6478691,930.7053248,89.74952268,101.5378367
97,Birch,Betula pendula,36.7,77.7,15.5,0.67,1,P1,0.474167648,17.40195267,7507.23445,7.50723445,2001.929187,2.001929187,3528.400192,3.528400192,533.8477831,0.533847783,4.640520713,331.2731788,414.6938879,334.3879728,218.9235297,114.9463273,748.2345881
98,Cedar,Cedrus libani,35.8,63.1,10.4,0.56,1,P1,0.312714918,11.19519407,4097.261868,4.097261868,1092.603165,1.092603165,1925.713078,1.925713078,291.3608439,0.291360844,2.985385085,438.9359321,895.349642,254.8565344,653.8379134,143.3185256,888.8899186
99,Poplar,Populus tremula,25.2,40.3,3.7,0.42,1,P1,0.12755573,3.214404404,915.4376067,0.915437607,244.1166951,0.244116695,430.2556751,0.430255675,65.09778537,0.065097785,0.857174508,19.4493109,764.2878687,461.9345833,436.1206046,165.3742674,900.4470724
