S.NO,SPECIES,X,X.1,HEIGHT,DIAMETER,PLOT,FOREST,COUNT,BA
81,Prosopis africana,,NA,10.7,15,P6,FOR,1,0.0176714586764426
82,Prosopis africana,,NA,13.5,14.6,P6,FOR,1,0.01674154725098
83,Prosopis africana,,NA,11,12.4,P6,FOR,1,0.0120762821603992
84,Prosopis africana,,NA,13.6,15,P6,FOR,1,0.0176714586764426
85,Daniella oliveri,,NA,11.2,13.1,P6,FOR,1,0.0134782178820636
86,Parkia biglobosa,,NA,9.2,13.7,P6,FOR,1,0.0147411381288067
87,Parkia biglobosa,lobusa,NA,12.5,32.8,P6,FOR,1,0.0844962760109511
88,Sterculia setigera,,NA,7.7,7.6,P6,FOR,1,0.00453645979178366
89,Prosopis africana,,NA,14.1,19.1,P6,FOR,1,0.0286521103989023
90,Vitex donina,,NA,10.8,18.5,P6,FOR,1,0.0268802521422777
91,Prosopis africana,,NA,10,20.7,P6,FOR,1,0.0336535259034173
92,Parkia biglobosa,,NA,15,20.7,P6,FOR,1,0.0336535259034173
93,Sterculia setigera,,NA,10,8,P6,FOR,1,0.00502654824574367
94,Prosopis africana,,NA,15.5,15.6,P6,FOR,1,0.0191134497044403
95,Prosopis africana,,NA,13.9,20.4,P7,FOR,1,0.0326851299679482
96,Prosopis africana,,NA,7.6,6.4,P7,FOR,1,0.00321699087727595
97,Khaya senegalensis,,NA,12.1,20.4,P7,FOR,1,0.0326851299679482
98,Prosopis africana,,NA,8.3,8.9,P7,FOR,1,0.00622113885227119
99,Daniella oliveri,,NA,10.3,12.1,P7,FOR,1,0.011499014510302
100,Parkia biglobosa,,NA,11.4,13.7,P7,FOR,1,0.0147411381288067
101,Daniella oliveri,,NA,15.4,21,P7,FOR,1,0.0346360590058275
102,Vitex donina,,NA,10.5,14.3,P7,FOR,1,0.0160606070433144
103,Daniella oliveri,,NA,10.9,9.5,P7,FOR,1,0.00708821842466197
104,Daniella oliveri,,NA,10.1,9.2,P7,FOR,1,0.006647610054996
105,Magifera indica,,NA,11.1,15.6,P7,FOR,1,0.0191134497044403
106,Parkia biglobosa,,NA,12.3,27.7,P7,FOR,1,0.0602628156793228
107,Parkia biglobosa,,NA,9.5,10.5,P7,FOR,1,0.00865901475145687
108,Daniella oliveri,,NA,8,6.7,P7,FOR,1,0.00352565235549115
109,Khaya senegalensis,,NA,9.2,9.5,P7,FOR,1,0.00708821842466197
110,Parkia biglobosa,,NA,10,10.2,P7,FOR,1,0.00817128249198705
111,Daniella oliveri,,NA,16.4,16.6,P8,FOR,1,0.0216424317905801
112,Daniella oliveri,,NA,9.4,9.5,P8,FOR,1,0.00708821842466197
113,Sterculia setigera,setigera,NA,9.1,9.5,P8,FOR,1,0.00708821842466197
114,Prosopis africana,,NA,10,17.2,P8,FOR,1,0.0232352192659501
115,Parkia biglobosa,,NA,9.9,20.4,P8,FOR,1,0.0326851299679482
116,Daniella oliveri,,NA,10.1,10.5,P8,FOR,1,0.00865901475145687
117,Daniella oliveri,,NA,9.1,7.6,P8,FOR,1,0.00453645979178366
118,Parkia biglobosa,,NA,17.5,22.3,P8,FOR,1,0.0390570652675917
119,Daniella oliveri,,NA,10.3,10.5,P8,FOR,1,0.00865901475145687
120,Daniella oliveri,,NA,7.3,6.4,P8,FOR,1,0.00321699087727595
121,Daniella oliveri,,NA,9.4,8.6,P8,FOR,1,0.00580880481648753
122,Sterculia setigera,setigera,NA,5.6,8.6,P8,FOR,1,0.00580880481648753
123,Prosopis africana,,NA,11,12.7,P8,FOR,1,0.0126676869774374
124,Parkia biglobosa,,NA,10.5,17.8,P8,FOR,1,0.0248845554090848
125,Sterculia setigera,setigera,NA,6.2,9.9,P8,FOR,1,0.00769768739945839
126,Parkia biglobosa,,NA,7,7.2,P8,FOR,1,0.00407150407905237
127,Daniella oliveri,,NA,9.2,8.6,P8,FOR,1,0.00580880481648753
128,Daniella oliveri,,NA,10.4,11.5,P8,FOR,1,0.0103868907109313
