PLOT.NO,S.N,SPECIES,DIAMETER,HEIGHT
P9,219,Gmelina arborea,17.5,6.2
P9,220,Gmelina arborea,15.1,6.1
P9,221,Gmelina arborea,14.3,7.1
P9,223,Tectona grandis,15.1,6.4
P9,224,Daniella olivera,13.7,7.4
P9,225,Tectona grandis,12.7,6.3
P9,226,Tectona grandis,17.2,6.4
P9,228,Kashier(Tiv),13.2,6.2
P9,229,Tectona grandis,14.6,7.2
P9,230,Tectona grandis,10.5,4.4
P9,231,Tectona grandis,21.2,11.5
P9,233,Gmelina arborea,20.7,10.3
P10,234,Daniella olivera,22.3,13.4
P10,235,Gmelina arborea,21.6,12.2
P10,236,Gmelina arborea,18.5,7.4
P10,238,Gmelina arborea,22.6,13.2
P10,239,Gmelina arborea,20.4,11.1
P10,240,Gmelina arborea,15.9,6.4
P10,241,Gmelina arborea,16.9,6.2
P10,243,Vitex doniana,15.9,7.4
P10,244,Gmelina arborea,18.1,7.2
P10,245,Gmelina arborea,19.4,7.4
P10,246,Gmelina arborea,14.6,6.1
P11,248,Gmelina arborea,22,14.5
P11,249,Daniella olivera,15.9,7.8
P11,250,Pterocarpus erinaceus,22.3,12.4
P11,251,Pterocarpus erinaceus,10.8,4.2
P11,253,Daniella olivera,15.9,7.1
P11,254,Daniella olivera,16.9,7.4
P11,255,Daniella olivera,24.2,13.2
P11,256,Anthocleista djalonensis,24.2,13.6
P11,258,Daniella olivera,14.3,6.5
P11,259,Gmelina arborea,23.9,12.4
P11,260,Gmelina arborea,16.9,5.2
P11,261,Gmelina arborea,20.7,11.2
P11,263,Daniella olivera,16.5,6.8
P12,264,Gmelina arborea,20.7,10.5
P12,265,Gmelina arborea,21.6,10.3
P12,266,Gmelina arborea,22.9,13.4
P12,268,Gmelina arborea,26.4,14.2
P12,269,Lannea schimperi,24.5,12.5
P12,270,Lannea schimperi,31.5,17.1
P12,271,Gmelina arborea,35.6,18.4
P12,273,Gmelina arborea,25,14.3
P12,274,Gmelina arborea,27.4,16.1
P12,275,Gmelina arborea,31.8,16.2
P12,276,Gmelina arborea,27.4,15
P12,278,Gmelina arborea,28.6,16.1
P12,279,Gmelina arborea,34.1,17.3
P12,280,Lannea schimperi,27.7,15.4
P13,281,Vitex doniana,25.1,13.9
P13,283,Gmelina arborea,47.4,19.9
P13,284,Daniella olivera,21.2,9.4
P13,285,Daniella olivera,22.9,13.1
P13,286,Gmelina arborea,28.2,16.4
P13,288,Daniella olivera,15.8,5.2
P13,289,Vitex doniana,27.4,15.9
P13,290,Gmelina arborea,21,11.3
P13,291,Vitex doniana,19.1,7.8
P13,293,Gmelina arborea,18.8,6.6
P13,294,Gmelina arborea,25.1,12.3
P13,295,Gmelina arborea,25.5,14.4
P13,296,Vitex doniana,17.5,6.3
P13,298,Gmelina arborea,32.8,15.3
P13,299,Sarcocephalus latifolius,26.4,12.6
P13,300,Vitex doniana,20.1,9.4
P13,301,Daniella olivera,20.1,10.3
P13,303,Sarcocephalus latifolius,22,11.1
P13,304,Daniella olivera,14,5.2
P13,305,Daniella olivera,21.6,10.1
P13,306,Daniella olivera,16.2,5.2
P13,308,Daniella olivera,27.1,15.9
P13,309,Gmelina arborea,26.1,12.3
P14,310,Gmelina arborea,17.8,6.3
P14,311,Khaya senegalensis,32.3,16.7
P14,313,Gmelina arborea,26.7,13.5
P14,314,Gmelina arborea,21.6,10.3
P14,315,Gmelina arborea,20.7,10.2
P14,316,Daniella olivera,25.1,13.1
P14,318,Daniella olivera,20.4,10.8
P14,319,Daniella olivera,23.4,12.2
P14,320,Daniella olivera,17.2,6.1
P14,321,Gmelina arborea,24.5,13.4
P14,323,Gmelina arborea,20.5,11.4
P14,324,Gmelina arborea,21.5,10.3
P14,325,Gmelina arborea,16.4,6.1
P14,326,Gmelina arborea,19.9,7.5
P14,328,Gmelina arborea,15.6,5.6
P14,329,Gmelina arborea,16.2,5.4
P14,330,Gmelina arborea,15.9,5.3
P14,331,Daniella olivera,17.5,5.3
P14,333,Daniella olivera,17.3,6.1
P14,334,Daniella olivera,13,5.4
P14,335,Gmelina arborea,16.3,6.4
P14,336,Gmelina arborea,17.7,6.1
P14,338,Gmelina arborea,15.3,5.2
P14,339,Ficus sur,14.3,6.3
P14,340,Gmelina arborea,18.5,6.4
P14,341,Lannea schimperi,17.3,7.1
P14,343,Daniella olivera,17.5,6.4
P14,344,Daniella olivera,15.6,6.1
P14,345,Gmelina arborea,17.3,7.1
P14,346,Gmelina arborea,18.5,7.4
P14,348,Gmelina arborea,26.4,14.1
P14,349,Anthocleista djalonensis,25.8,14.4
P14,350,Gmelina arborea,22.9,13.3
P14,351,Daniella olivera,12.7,5.3
P14,353,Gmelina arborea,16.2,5.4
P14,354,Daniella olivera,18.1,6.3
P15,355,Gmelina arborea,21.6,11.4
P15,356,Anthocleista djalonensis,16.2,6.1
P15,358,Gmelina arborea,27.7,15.8
P15,359,Gmelina arborea,21,10.7
P15,360,Gmelina arborea,17.2,6.1
P15,361,Gmelina arborea,22.3,13.1
P15,363,Gmelina arborea,17.2,7.1
P15,364,Gmelina arborea,23.2,13.2
P15,365,Gmelina arborea,21.3,10.8
P15,366,Daniella olivera,15,5.7
P15,368,Gmelina arborea,15.4,6.3
P15,369,Gmelina arborea,24.5,12.8
P15,370,Gmelina arborea,16.9,6.2
P15,371,Gmelina arborea,20.4,10.1
P15,373,Gmelina arborea,16.9,6.1
P15,374,Gmelina arborea,15.6,6.3
P15,375,Gmelina arborea,15.3,5.2
P15,376,Gmelina arborea,17.2,6.4
P15,378,Gmelina arborea,14.3,5.2
P15,379,Gmelina arborea,20.4,9.3
P15,380,Gmelina arborea,19.1,7.1
P15,381,Gmelina arborea,19.1,7.4
P15,383,Gmelina arborea,21.6,10.3
P15,384,Gmelina arborea,20.4,10.1
P15,385,Gmelina arborea,22.3,12.1
P15,386,Gmelina arborea,15.3,5.3
P15,388,Gmelina arborea,21.6,10.7
P15,389,Gmelina arborea,23.9,12.5
P15,390,Gmelina arborea,18.1,6.3
P15,391,Anthocleista djalonensis,22.6,11.8
P15,393,Gmelina arborea,21.6,10.8
P15,394,Pterocarpus erinaceus,16.9,5.3
P15,395,Anthocleista djalonensis,19.7,7.3
P16,396,Gmelina arborea,22.6,13.4
P16,398,Gmelina arborea,24.8,13.4
P16,399,Gmelina arborea,25.8,13.7
P16,400,Gmelina arborea,22.6,12.8
P16,401,Gmelina arborea,21,9.8
P16,403,Khaya senegalensis,18.5,7.4
P16,404,Khaya senegalensis,33.7,17.1
P16,405,Gmelina arborea,29.3,16.2
P16,406,Gmelina arborea,21.6,11.4
P16,408,Gmelina arborea,20.4,11.4
P16,409,Gmelina arborea,19.1,7.1
P16,410,Gmelina arborea,31.2,17.5
P16,411,Gmelina arborea,27.7,16.4
P16,413,Gmelina arborea,20.7,10.3
P16,414,Gmelina arborea,20.1,11.2
P16,415,Gmelina arborea,18.1,6.2
P16,416,Gmelina arborea,22,12.1
P16,418,Gmelina arborea,30.9,17.1
P16,419,Gmelina arborea,24.2,11.4
P16,420,Gmelina arborea,22.8,12.1
P16,421,Gmelina arborea,17.8,6.3
P16,423,Daniella olivera,26.1,13.7
P16,424,Gmelina arborea,23.2,13.4
P16,425,Gmelina arborea,27.7,15.4
P16,426,Gmelina arborea,19.1,7.2
P16,428,Gmelina arborea,21.3,10.8
P16,429,Daniella olivera,24.2,11.7
P17,430,Vitex doniana,20.4,10.4
P17,431,Daniella olivera,15,7.1
P17,433,Gmelina arborea,16.2,6.7
P17,434,Gmelina arborea,19.4,8.4
P17,435,Gmelina arborea,16.2,6.4
P17,436,Gmelina arborea,20.4,10.8
P17,438,Gmelina arborea,22,12.7
P17,439,Gmelina arborea,18.8,6.4
P17,440,Gmelina arborea,16.5,7.3
P17,441,Gmelina arborea,19.4,8.1
P17,443,Khaya senegalensis,24.8,13.2
P17,444,Gmelina arborea,19.4,7.8
P17,445,Gmelina arborea,21.3,11.1
P17,446,Gmelina arborea,22.6,13.3
P17,448,Gmelina arborea,19.4,7.8
P17,449,Gmelina arborea,15,5.8
P17,450,Gmelina arborea,20.4,10.1
P17,451,Daniella olivera,14,5.7
P17,453,Gmelina arborea,13,6.1
P17,454,Daniella olivera,14,5.1
P17,455,Gmelina arborea,20.4,11.4
P17,456,Gmelina arborea,19.1,8.1
P17,458,Gmelina arborea,14.3,5.2
P17,459,Gmelina arborea,15,5.1
P17,460,Gmelina arborea,13.7,6.1
P17,461,Gmelina arborea,18.8,6.3
P17,463,Gmelina arborea,19.7,7.9
P17,464,Gmelina arborea,24.5,11.3
P17,465,Gmelina arborea,25.1,14.1
P17,466,Gmelina arborea,22,13.2
P17,468,Gmelina arborea,11.1,5.1
P17,469,Gmelina arborea,16.5,5.6
P17,470,Gmelina arborea,13.7,6.1
P17,471,Gmelina arborea,27.1,16.4
P18,473,Gmelina arborea,28,16.2
P18,474,Lannea schimperi,25.5,13.2
P18,475,Gmelina arborea,28,14.8
P18,476,Gmelina arborea,13.7,6.4
P18,478,Gmelina arborea,20.7,10.3
P18,479,Lannea schimperi,15.3,5.8
P18,480,Gmelina arborea,20.7,10.2
P18,481,Gmelina arborea,18.5,6.4
P18,483,Gmelina arborea,18.5,6.1
P18,484,Gmelina arborea,19.4,7.3
P18,485,Gmelina arborea,23.9,13.4
P18,486,Gmelina arborea,17.5,6.1
P18,488,Gmelina arborea,26.4,14.4
P18,489,Gmelina arborea,24.5,13.1
P18,490,Daniella olivera,19.1,7.3
P18,491,Gmelina arborea,19.7,6.8
P18,493,Gmelina arborea,16.9,7.2
P18,494,Gmelina arborea,24.8,13.4
P18,495,Gmelina arborea,24.8,13.4
P18,496,Gmelina arborea,15.9,5.3
P18,498,Gmelina arborea,16.9,6.2
P18,499,Gmelina arborea,15,5.7
P18,500,Gmelina arborea,26.4,14.4
P18,501,Gmelina arborea,29.9,16.1
P18,503,Gmelina arborea,22.3,12.7
P18,504,Gmelina arborea,21.3,11.4
P18,505,Gmelina arborea,23.6,13.1
P18,506,Gmelina arborea,19.1,7.3
P18,508,Gmelina arborea,19.4,8.1
P18,509,Gmelina arborea,22,12.1
P18,510,Afzelia africana,23.2,12.4
P18,511,Gmelina arborea,19.7,7.1
P18,513,Gmelina arborea,27.4,16.4
P18,514,Gmelina arborea,28.3,15.1
P18,515,Gmelina arborea,22.6,12.3
P19,516,Daniella olivera,33.4,17.4
P19,518,Anthocleista djalonensis,31.5,16.2
P19,519,Gmelina arborea,24.5,13.1
P19,520,Gmelina arborea,36,17.8
P19,521,Gmelina arborea,22.3,12.1
P19,523,Gmelina arborea,36,17.8
P19,524,Gmelina arborea,24.2,12.2
P19,525,Gmelina arborea,27.4,15.4
P19,526,Gmelina arborea,24.2,12.1
P19,528,Gmelina arborea,30.6,17.4
P19,529,Gmelina arborea,32.1,17.4
P19,530,Gmelina arborea,31.2,16.4
P19,531,Gmelina arborea,31.8,17.4
P19,533,Gmelina arborea,27.4,14.4
P19,534,Gmelina arborea,21.6,9.4
P19,535,Gmelina arborea,29,15.1
P19,536,Gmelina arborea,27.4,15.8
P19,538,Gmelina arborea,31.2,17.4
P19,539,Gmelina arborea,29,15.4
P19,540,Gmelina arborea,23.2,11.1
P19,541,Gmelina arborea,40.7,17.4
P19,543,Gmelina arborea,31.2,16.4
P19,544,Gmelina arborea,32.1,17.4
P20,545,Gmelina arborea,27.7,16.5
P20,546,Gmelina arborea,24.5,12
P20,548,Khaya senegalensis,20.7,10
P20,549,Khaya senegalensis,26.4,13.5
P20,550,Khaya senegalensis,19.1,6
P20,551,Khaya senegalensis,14.3,5.5
P20,553,Gmelina arborea,20.1,10.3
P20,554,Gmelina arborea,19.1,7.1
P20,555,Gmelina arborea,17.5,6.2
P20,556,Gmelina arborea,16.5,6.5
P20,558,Daniella olivera,17.2,6.4
P20,559,Daniella olivera,12.7,5.6
P20,560,Daniella olivera,19.1,7.2
P20,561,Gmelina arborea,23.9,13
P21,563,Gmelina arborea,21.6,11.4
P21,564,Pterocarpus erinaceus,29.9,16.2
P21,565,Pterocarpus erinaceus,27.4,16.1
P21,566,Gmelina arborea,21.6,10.4
P21,568,Gmelina arborea,25.8,13.4
P21,569,Gmelina arborea,28.6,16.4
P21,570,Anthocleista djalonensis,22.6,13.5
P21,571,Anthocleista djalonensis,21.6,11.5
P21,573,Anthocleista djalonensis,20.4,10.4
P21,574,Anthocleista djalonensis,26.4,14.4
P21,575,Lannea schimperi,32.1,17.3
P21,576,Lannea schimperi,35.3,18.4
P21,578,Gmelina arborea,20.4,10.3
P21,579,Gmelina arborea,26.4,12.4
P21,580,Gmelina arborea,22.6,12.3
P21,581,Gmelina arborea,28.3,15.1
P21,583,Gmelina arborea,30.6,17.1
P21,584,Gmelina arborea,19.4,7.1
P21,585,Gmelina arborea,28.3,15.4
P21,586,Gmelina arborea,32.1,17.4
P21,588,Gmelina arborea,32.1,17.4
P21,589,Gmelina arborea,31.2,17.1
P21,590,Gmelina arborea,30.6,16.4
