,S.N,NAMES,SPECIES,HEIGHT,DIAMETER,CROWN.DIAMETER,WOOD.DENSITY,COUNT,PLOT
116,116,Hemlock,Tsuga canadensis,26.2,61.3,5.1,0.45,1,P1
117,117,Locust,Robinia pseudoacacia,20.5,46.9,6.5,0.69,1,P1
118,118,Pine,Pinus sylvestris,25.6,43.5,8.2,0.45,1,P1
119,119,Walnut,Juglans regia,21.4,50.3,11.6,0.61,1,P1
120,120,Walnut,Juglans regia,29.8,57.9,7.7,0.61,1,P1
122,122,Beech,Fagus sylvatica,30.5,56.7,6.6,0.67,1,P1
123,123,Fir,Abies alba,27.9,44.6,4.6,0.42,1,P1
125,125,Hemlock,Tsuga canadensis,36.6,80.2,10.1,0.45,1,P1
126,126,Maple,Acer saccharum,24.1,55.8,6.1,0.71,1,P1
127,127,Hemlock,Tsuga canadensis,25.2,47.6,4.3,0.45,1,P1
128,128,Maple,Acer saccharum,22.3,50.8,3.4,0.71,1,P1
129,129,Birch,Betula pendula,25.6,61.9,8.1,0.67,1,P1
131,131,Yew,Taxus baccata,33,73.5,8,0.64,1,P1
132,132,Ash,Fraxinus excelsior,23.1,61.4,3.7,0.67,1,P1
134,134,Magnolia,Magnolia grandiflora,25.2,49.1,8.5,0.6,1,P1
135,135,Ash,Fraxinus excelsior,46.2,71.1,10.3,0.67,1,P1
136,136,Redwood,Sequoia sempervirens,25.8,61.1,10.5,0.48,1,P1
137,137,Willow,Salix alba,33.1,81.1,6.3,0.47,1,P1
138,138,Pine,Pinus sylvestris,28.1,59.2,4.3,0.45,1,P1
140,140,Spruce,Picea abies,35.8,63.1,9.2,0.43,1,P1
141,141,Birch,Betula pendula,28.3,49.2,6.2,0.67,1,P1
143,143,Yew,Taxus baccata,36.4,74.1,7.9,0.64,1,P1
144,144,Willow,Salix alba,32.5,66.4,11.1,0.47,1,P1
145,145,Walnut,Juglans regia,40.6,70.9,6.9,0.61,1,P1
146,146,Maple,Acer saccharum,26.3,44.3,8.2,0.71,1,P1
147,147,Willow,Salix alba,33.8,65.2,9.9,0.47,1,P1
149,149,Pine,Pinus sylvestris,36.8,85.1,12.4,0.45,1,P1
150,150,Redwood,Sequoia sempervirens,33,58.7,9.5,0.48,1,P1
152,152,Magnolia,Magnolia grandiflora,30.2,50,5.9,0.6,1,P1
153,153,Redwood,Sequoia sempervirens,25.7,46.5,6.3,0.48,1,P1
154,154,Larch,Larix decidua,30.1,49.8,9.4,0.59,1,P1
155,155,Larch,Larix decidua,20.2,42.4,4,0.59,1,P1
156,156,Cypress,Cupressus sempervirens,21.7,42.3,5.5,0.47,1,P1
158,158,Fir,Abies alba,24.3,69.8,3,0.42,1,P1
159,159,Locust,Robinia pseudoacacia,29.9,53.1,8.2,0.69,1,P1
161,161,Locust,Robinia pseudoacacia,25.6,53,11.6,0.69,1,P1
162,162,Larch,Larix decidua,30.7,54.6,8.4,0.59,1,P1
163,163,Willow,Salix alba,32.5,61.8,8.7,0.47,1,P1
164,164,Hemlock,Tsuga canadensis,53.3,87.8,19,0.45,1,P1
165,165,Poplar,Populus tremula,22.3,50,5.1,0.42,1,P1
167,167,Larch,Larix decidua,27.6,48.5,5.8,0.59,1,P1
168,168,Cypress,Cupressus sempervirens,23.3,46.6,6.4,0.47,1,P1
170,170,Cypress,Cupressus sempervirens,27.2,45.8,3,0.47,1,P1
171,171,Willow,Salix alba,20.4,52.9,3.4,0.47,1,P1
172,172,Fir,Abies alba,23.2,45.1,4.3,0.42,1,P1
173,173,Larch,Larix decidua,21.3,49.9,5.7,0.59,1,P1
174,174,Birch,Betula pendula,38.9,72.6,14.8,0.67,1,P1
176,176,Locust,Robinia pseudoacacia,31,61.3,7.2,0.69,1,P1
177,177,Spruce,Picea abies,21.8,44,3.4,0.43,1,P1
179,179,Poplar,Populus tremula,29.3,42.9,3.5,0.42,1,P1
180,180,Redwood,Sequoia sempervirens,24.7,51.6,4.1,0.48,1,P1
181,181,Willow,Salix alba,28.4,60.1,8.5,0.47,1,P1
182,182,Hemlock,Tsuga canadensis,28.2,59.4,11.5,0.45,1,P1
183,183,Maple,Acer saccharum,21.4,50.8,4.5,0.71,1,P1
185,185,Larch,Larix decidua,22.7,43.6,4,0.59,1,P1
186,186,Larch,Larix decidua,24.6,41.9,3.8,0.59,1,P1
188,188,Fir,Abies alba,23.8,55.2,3.7,0.42,1,P1
189,189,Pine,Pinus sylvestris,29.9,66.6,4.3,0.45,1,P1
190,190,Fir,Abies alba,29.1,48.1,3.2,0.42,1,P1
191,191,Hemlock,Tsuga canadensis,20.1,41.4,6.3,0.45,1,P1
192,192,Oak,Quercus robur,26.2,46.1,3.2,0.7,1,P1
194,194,Pine,Pinus sylvestris,26.5,65.2,5.8,0.45,1,P1
195,195,Oak,Quercus robur,33.5,55.4,10.4,0.7,1,P1
197,197,Cypress,Cupressus sempervirens,27.6,53.4,4.1,0.47,1,P1
198,198,Maple,Acer saccharum,31.4,71.6,6.6,0.71,1,P1
199,199,Birch,Betula pendula,21.1,63.7,5.1,0.67,1,P1
200,200,Magnolia,Magnolia grandiflora,31.5,60.8,8.4,0.6,1,P1
201,201,Beech,Fagus sylvatica,44.1,68.1,14.2,0.67,1,P1
203,203,Cedar,Cedrus libani,20.6,55.8,3,0.56,1,P1
204,204,Poplar,Populus tremula,25.5,67.4,5.1,0.42,1,P1
206,206,Pine,Pinus sylvestris,24.3,50,4.9,0.45,1,P1
207,207,Cedar,Cedrus libani,26.7,51.2,7.8,0.56,1,P1
208,208,Fir,Abies alba,20.1,44.1,12.3,0.42,1,P1
209,209,Yew,Taxus baccata,39,72.9,8,0.64,1,P1
210,210,Cypress,Cupressus sempervirens,21.9,52,6.2,0.47,1,P1
212,212,Willow,Salix alba,24.8,40.5,3.8,0.47,1,P1
213,213,Larch,Larix decidua,26.7,71.3,8.9,0.59,1,P1
215,215,Cherry,Prunus avium,28.6,57.4,8,0.72,1,P1
216,216,Walnut,Juglans regia,39.7,67.4,9.3,0.61,1,P1
217,217,Cypress,Cupressus sempervirens,22.1,49.2,5.8,0.47,1,P1
218,218,Beech,Fagus sylvatica,24.3,41.1,11.2,0.67,1,P1
219,219,Larch,Larix decidua,30.4,63.8,8.9,0.59,1,P1
221,221,Spruce,Picea abies,22.8,62.2,7,0.43,1,P1
222,222,Pine,Pinus sylvestris,26.3,40.2,8.3,0.45,1,P1
224,224,Larch,Larix decidua,30.5,46.8,5.7,0.59,1,P1
225,225,Oak,Quercus robur,27.6,48.8,6.3,0.7,1,P1
226,226,Redwood,Sequoia sempervirens,20.3,40.6,3.5,0.48,1,P1
227,227,Beech,Fagus sylvatica,27.9,40.6,8.9,0.67,1,P1
228,228,Beech,Fagus sylvatica,29.4,65.7,4.3,0.67,1,P1
230,230,Birch,Betula pendula,31.7,59,6.4,0.67,1,P1
231,231,Maple,Acer saccharum,36.4,74.2,13.3,0.71,1,P1
233,233,Cypress,Cupressus sempervirens,24.3,42.1,4.3,0.47,1,P1
234,234,Walnut,Juglans regia,27.2,44.8,8.4,0.61,1,P1
235,235,Magnolia,Magnolia grandiflora,25.4,54,4.7,0.6,1,P1
236,236,Magnolia,Magnolia grandiflora,26.3,65.5,11.8,0.6,1,P1
237,237,Spruce,Picea abies,26.1,46.5,4,0.43,1,P1
239,239,Hemlock,Tsuga canadensis,25.2,40.8,4.6,0.45,1,P1
240,240,Locust,Robinia pseudoacacia,26.5,53.1,7.2,0.69,1,P1
242,242,Walnut,Juglans regia,23.2,52.2,5.3,0.61,1,P1
243,243,Cherry,Prunus avium,33.5,68.1,9.8,0.72,1,P1
244,244,Fir,Abies alba,32.7,66,5.8,0.42,1,P1
245,245,Spruce,Picea abies,21.7,41.7,5,0.43,1,P1
246,246,Beech,Fagus sylvatica,38.6,74.8,11.2,0.67,1,P1
248,248,Beech,Fagus sylvatica,29,58.7,12.7,0.67,1,P1
249,249,Walnut,Juglans regia,23.2,57.7,6.2,0.61,1,P1
251,251,Pine,Pinus sylvestris,25.7,41.1,5,0.45,1,P1
252,252,Locust,Robinia pseudoacacia,22.4,47.7,7.7,0.69,1,P1
253,253,Cypress,Cupressus sempervirens,23.1,44.9,7.4,0.47,1,P1
254,254,Magnolia,Magnolia grandiflora,23.6,49.7,6.1,0.6,1,P1
255,255,Yew,Taxus baccata,36.3,69.8,9.4,0.64,1,P1
257,257,Maple,Acer saccharum,30.9,58.5,7.8,0.71,1,P1
258,258,Redwood,Sequoia sempervirens,24.2,41.3,9.3,0.48,1,P1
260,260,Yew,Taxus baccata,28.9,78.1,10.3,0.64,1,P1
261,261,Maple,Acer saccharum,20.3,55.2,6.3,0.71,1,P1
262,262,Beech,Fagus sylvatica,26,50.3,4.2,0.67,1,P1
263,263,Maple,Acer saccharum,21.2,40.9,4,0.71,1,P1
264,264,Oak,Quercus robur,36.2,53.4,9.4,0.7,1,P1
266,266,Beech,Fagus sylvatica,35.7,59.4,11.6,0.67,1,P1
267,267,Hemlock,Tsuga canadensis,21.5,46,3.4,0.45,1,P1
269,269,Magnolia,Magnolia grandiflora,22.7,47.2,5.2,0.6,1,P1
270,270,Ash,Fraxinus excelsior,20.1,52.3,4.9,0.67,1,P1
271,271,Poplar,Populus tremula,30.8,57.4,4.8,0.42,1,P1
272,272,Cedar,Cedrus libani,32.2,56.3,6,0.56,1,P1
273,273,Maple,Acer saccharum,28.1,43.4,7.5,0.71,1,P1
275,275,Cherry,Prunus avium,26.7,63,5.6,0.72,1,P1
276,276,Oak,Quercus robur,24.9,43.7,5.8,0.7,1,P1
278,278,Birch,Betula pendula,23.7,49.2,6.2,0.67,1,P1
279,279,Ash,Fraxinus excelsior,23.9,46.5,5.3,0.67,1,P1
280,280,Spruce,Picea abies,20.6,40.9,3.9,0.43,1,P1
281,281,Oak,Quercus robur,45.5,56.1,9,0.7,1,P1
282,282,Spruce,Picea abies,27.4,63.5,3.6,0.43,1,P1
284,284,Larch,Larix decidua,26.5,75.1,4.6,0.59,1,P1
285,285,Beech,Fagus sylvatica,22.6,46.8,4.3,0.67,1,P1
287,287,Fir,Abies alba,24,40.7,3.9,0.42,1,P1
288,288,Beech,Fagus sylvatica,35.4,78.9,8.2,0.67,1,P1
289,289,Birch,Betula pendula,20.7,51.2,3.1,0.67,1,P1
290,290,Poplar,Populus tremula,24.5,45.5,4.4,0.42,1,P1
291,291,Oak,Quercus robur,30.4,64.6,7.8,0.7,1,P1
293,293,Birch,Betula pendula,28.8,66.8,7.7,0.67,1,P1
294,294,Cedar,Cedrus libani,32.6,48.3,3.6,0.56,1,P1
296,296,Magnolia,Magnolia grandiflora,20.6,43,3.1,0.6,1,P1
297,297,Locust,Robinia pseudoacacia,42.1,64.4,11.5,0.69,1,P1
298,298,Cedar,Cedrus libani,31,79.4,6.3,0.56,1,P1
299,299,Spruce,Picea abies,23,44.4,5.4,0.43,1,P1
300,300,Walnut,Juglans regia,28.1,75.2,7.5,0.61,1,P1
302,302,Pine,Pinus sylvestris,29.8,50.4,5.8,0.45,1,P1
303,303,Walnut,Juglans regia,28,63.8,6,0.61,1,P1
305,305,Poplar,Populus tremula,28.4,41,5,0.42,1,P1
306,306,Larch,Larix decidua,23.1,48.6,8.2,0.59,1,P1
307,307,Redwood,Sequoia sempervirens,39.3,73.7,12.7,0.48,1,P1
308,308,Ash,Fraxinus excelsior,24,45.1,5.1,0.67,1,P1
309,309,Maple,Acer saccharum,38.4,49.7,8.3,0.71,1,P1
311,311,Cedar,Cedrus libani,36.1,46.7,11.1,0.56,1,P1
312,312,Walnut,Juglans regia,24.8,65.1,4.8,0.61,1,P1
314,314,Redwood,Sequoia sempervirens,22.1,63.6,4.4,0.48,1,P1
315,315,Beech,Fagus sylvatica,21.7,40.5,8.9,0.67,1,P1
316,316,Hemlock,Tsuga canadensis,31.5,42.8,6.2,0.45,1,P1
317,317,Fir,Abies alba,24.8,49.5,4.6,0.42,1,P1
318,318,Walnut,Juglans regia,38.7,61.4,5.5,0.61,1,P1
320,320,Pine,Pinus sylvestris,27.6,62.7,6.1,0.45,1,P1
321,321,Birch,Betula pendula,24.1,47.6,3.7,0.67,1,P1
323,323,Cedar,Cedrus libani,34.1,69.6,7,0.56,1,P1
324,324,Redwood,Sequoia sempervirens,26.2,60.7,3.9,0.48,1,P1
325,325,Spruce,Picea abies,30.9,46.3,6.2,0.43,1,P1
326,326,Beech,Fagus sylvatica,27.7,59.4,3.7,0.67,1,P2
327,327,Yew,Taxus baccata,20.7,40.8,3.3,0.64,1,P2
329,329,Locust,Robinia pseudoacacia,29.2,49.8,14.5,0.69,1,P2
330,330,Larch,Larix decidua,20.2,43.8,4.1,0.59,1,P2
332,332,Spruce,Picea abies,37.3,51.2,7.8,0.43,1,P2
333,333,Cedar,Cedrus libani,24.4,51.5,7.9,0.56,1,P2
334,334,Fir,Abies alba,34.1,72.6,8.8,0.42,1,P2
335,335,Pine,Pinus sylvestris,20.7,59.8,3.7,0.45,1,P2
336,336,Walnut,Juglans regia,41.8,76,11.3,0.61,1,P2
338,338,Walnut,Juglans regia,21.2,44.7,6.4,0.61,1,P2
339,339,Cherry,Prunus avium,33.4,42.6,7.5,0.72,1,P2
341,341,Beech,Fagus sylvatica,24.1,48.9,7.4,0.67,1,P2
342,342,Oak,Quercus robur,28,63,6.5,0.7,1,P2
343,343,Hemlock,Tsuga canadensis,37.3,57.8,12.9,0.45,1,P2
344,344,Fir,Abies alba,20.8,43,3.4,0.42,1,P2
345,345,Pine,Pinus sylvestris,21.5,47.5,3.4,0.45,1,P2
347,347,Beech,Fagus sylvatica,21.1,42,4.3,0.67,1,P2
348,348,Cherry,Prunus avium,29.2,43,5.5,0.72,1,P2
350,350,Ash,Fraxinus excelsior,24.9,44.1,4,0.67,1,P2
351,351,Cypress,Cupressus sempervirens,29.4,43.6,13.2,0.47,1,P2
352,352,Ash,Fraxinus excelsior,39.1,74.6,12.3,0.67,1,P2
353,353,Redwood,Sequoia sempervirens,22.9,56,6.5,0.48,1,P2
354,354,Cedar,Cedrus libani,25,42.8,4.7,0.56,1,P2
356,356,Poplar,Populus tremula,25.5,42.2,4.3,0.42,1,P2
357,357,Poplar,Populus tremula,22.9,43.6,6.4,0.42,1,P2
359,359,Fir,Abies alba,43.6,78.4,15.6,0.42,1,P2
360,360,Yew,Taxus baccata,41.3,83.3,17,0.64,1,P2
361,361,Fir,Abies alba,20.9,44.4,6.5,0.42,1,P2
362,362,Cypress,Cupressus sempervirens,23.4,53.5,7,0.47,1,P2
363,363,Larch,Larix decidua,30.4,50.2,4,0.59,1,P2
365,365,Willow,Salix alba,27.6,58.3,5.9,0.47,1,P2
366,366,Pine,Pinus sylvestris,25.9,43.4,3.7,0.45,1,P2
368,368,Yew,Taxus baccata,26.8,57.8,8.2,0.64,1,P2
369,369,Maple,Acer saccharum,29.8,42.8,9.2,0.71,1,P2
370,370,Cedar,Cedrus libani,20.1,41.9,8.9,0.56,1,P2
371,371,Birch,Betula pendula,40.1,95.2,12.5,0.67,1,P2
372,372,Locust,Robinia pseudoacacia,37.3,65.1,10.8,0.69,1,P2
374,374,Hemlock,Tsuga canadensis,30.5,51.3,6.2,0.45,1,P2
375,375,Maple,Acer saccharum,24.9,47.7,5.6,0.71,1,P2
377,377,Redwood,Sequoia sempervirens,31.1,74.6,3.5,0.48,1,P2
378,378,Cedar,Cedrus libani,21,48.6,3.4,0.56,1,P2
379,379,Poplar,Populus tremula,22.6,47.2,6.4,0.42,1,P2
380,380,Fir,Abies alba,37.5,59.7,14,0.42,1,P2
381,381,Ash,Fraxinus excelsior,20.4,43,3,0.67,1,P2
383,383,Pine,Pinus sylvestris,27.7,51.3,4.3,0.45,1,P2
384,384,Pine,Pinus sylvestris,28.6,59.1,8.5,0.45,1,P2
386,386,Cedar,Cedrus libani,32.5,78,6.2,0.56,1,P2
387,387,Cypress,Cupressus sempervirens,21.6,52.9,5.3,0.47,1,P2
388,388,Cherry,Prunus avium,32.1,57,8.3,0.72,1,P2
389,389,Fir,Abies alba,26.8,45.8,7,0.42,1,P2
390,390,Cedar,Cedrus libani,26.1,50.4,3.9,0.56,1,P2
392,392,Ash,Fraxinus excelsior,37.5,88.5,11.9,0.67,1,P2
393,393,Ash,Fraxinus excelsior,27.5,52.6,8.3,0.67,1,P2
395,395,Locust,Robinia pseudoacacia,36.1,50.1,5.9,0.69,1,P2
396,396,Cherry,Prunus avium,36.4,67.4,8.6,0.72,1,P2
397,397,Cypress,Cupressus sempervirens,30.4,60,3.4,0.47,1,P2
398,398,Fir,Abies alba,33.6,51.5,4.8,0.42,1,P2
399,399,Magnolia,Magnolia grandiflora,32.7,71,6.3,0.6,1,P2
401,401,Pine,Pinus sylvestris,22.4,40.1,5.3,0.45,1,P2
402,402,Walnut,Juglans regia,33.2,66,6,0.61,1,P2
404,404,Locust,Robinia pseudoacacia,23.6,44.3,4.2,0.69,1,P2
405,405,Maple,Acer saccharum,27.1,54,5.2,0.71,1,P2
406,406,Willow,Salix alba,29.6,81,10.8,0.47,1,P2
407,407,Yew,Taxus baccata,24.7,44,4.5,0.64,1,P2
408,408,Cypress,Cupressus sempervirens,29.9,50.7,5.7,0.47,1,P2
410,410,Yew,Taxus baccata,22.9,45.1,5.9,0.64,1,P2
411,411,Ash,Fraxinus excelsior,28.9,52.7,3.9,0.67,1,P2
413,413,Birch,Betula pendula,25.6,47.7,7.3,0.67,1,P2
414,414,Spruce,Picea abies,20.7,53.9,7.8,0.43,1,P2
415,415,Pine,Pinus sylvestris,21.7,59.9,3.1,0.45,1,P2
416,416,Ash,Fraxinus excelsior,47.9,79.8,15.5,0.67,1,P2
417,417,Cedar,Cedrus libani,25,50.7,4.4,0.56,1,P2
419,419,Spruce,Picea abies,23.4,45.9,10.2,0.43,1,P2
420,420,Cypress,Cupressus sempervirens,22.4,47.8,7.6,0.47,1,P2
422,422,Cypress,Cupressus sempervirens,22.9,46,4,0.47,1,P2
423,423,Cherry,Prunus avium,23.8,49.5,5.1,0.72,1,P2
424,424,Pine,Pinus sylvestris,35.6,61.5,7.3,0.45,1,P2
425,425,Oak,Quercus robur,31.9,52.3,3.8,0.7,1,P2
426,426,Cherry,Prunus avium,24.7,56.7,3.3,0.72,1,P2
428,428,Pine,Pinus sylvestris,24.4,48.9,3.1,0.45,1,P2
429,429,Cypress,Cupressus sempervirens,34.1,75,9.7,0.47,1,P2
431,431,Cedar,Cedrus libani,21.9,64.7,5.5,0.56,1,P2
432,432,Birch,Betula pendula,28.3,40,4,0.67,1,P2
433,433,Redwood,Sequoia sempervirens,25.4,43.5,5.3,0.48,1,P2
434,434,Oak,Quercus robur,29.7,50.4,9.4,0.7,1,P2
435,435,Birch,Betula pendula,21.3,44.2,3.6,0.67,1,P2
437,437,Larch,Larix decidua,22.2,59.4,7,0.59,1,P2
438,438,Spruce,Picea abies,24.8,61,10.4,0.43,1,P2
440,440,Cedar,Cedrus libani,34.3,48.9,10.6,0.56,1,P2
441,441,Oak,Quercus robur,28.1,83.9,5.1,0.7,1,P2
442,442,Willow,Salix alba,26.7,49.1,3.6,0.47,1,P2
443,443,Hemlock,Tsuga canadensis,25.6,48.6,7.2,0.45,1,P2
444,444,Cypress,Cupressus sempervirens,20.2,61.3,5.6,0.47,1,P2
446,446,Spruce,Picea abies,25.7,41.7,3.2,0.43,1,P2
447,447,Yew,Taxus baccata,21.6,47.3,10.1,0.64,1,P2
449,449,Larch,Larix decidua,43.7,80.1,9.3,0.59,1,P2
450,450,Birch,Betula pendula,41.5,67,7.9,0.67,1,P2
451,451,Pine,Pinus sylvestris,28.5,73.9,10.1,0.45,1,P2
452,452,Birch,Betula pendula,23.6,62.7,10.1,0.67,1,P2
453,453,Fir,Abies alba,21.2,53.5,5.1,0.42,1,P2
455,455,Cypress,Cupressus sempervirens,34.6,54.3,4.6,0.47,1,P2
456,456,Fir,Abies alba,42.6,77.2,19.1,0.42,1,P2
458,458,Locust,Robinia pseudoacacia,25.9,56.2,3.3,0.69,1,P2
459,459,Pine,Pinus sylvestris,27,41.7,3,0.45,1,P2
460,460,Ash,Fraxinus excelsior,21.9,40.2,6.2,0.67,1,P2
461,461,Redwood,Sequoia sempervirens,25.7,62.2,6.7,0.48,1,P2
462,462,Spruce,Picea abies,23.7,44.3,7,0.43,1,P2
464,464,Pine,Pinus sylvestris,24.1,55.5,3.5,0.45,1,P2
465,465,Locust,Robinia pseudoacacia,23,51.5,13.8,0.69,1,P2
467,467,Locust,Robinia pseudoacacia,28.9,54.4,5.1,0.69,1,P2
468,468,Pine,Pinus sylvestris,34.6,83.3,8.7,0.45,1,P2
469,469,Pine,Pinus sylvestris,25.7,42.3,4.5,0.45,1,P2
470,470,Pine,Pinus sylvestris,33.3,59,7,0.45,1,P2
471,471,Pine,Pinus sylvestris,33.2,72.2,15.7,0.45,1,P2
473,473,Fir,Abies alba,27.2,83.6,6.8,0.42,1,P2
474,474,Pine,Pinus sylvestris,28.4,50.6,6.7,0.45,1,P2
