S/N,NAMES,SPECIES,HEIGHT,DIAMETER,CROWN.DIAMETER,WOOD.DENSITY,COUNT,PLOT
204,Poplar,Populus tremula,25.5,67.4,5.1,0.42,1,P1
205,Ash,Fraxinus excelsior,25.7,42.5,6.5,0.67,1,P1
206,Pine,Pinus sylvestris,24.3,50.0,4.9,0.45,1,P1
207,Cedar,Cedrus libani,26.7,51.2,7.8,0.56,1,P1
208,Fir,Abies alba,20.1,44.1,12.3,0.42,1,P1
209,Yew,Taxus baccata,39.0,72.9,8.0,0.64,1,P1
210,Cypress,Cupressus sempervirens,21.9,52.0,6.2,0.47,1,P1
211,Spruce,Picea abies,21.0,51.7,4.8,0.43,1,P1
212,Willow,Salix alba,24.8,40.5,3.8,0.47,1,P1
213,Larch,Larix decidua,26.7,71.3,8.9,0.59,1,P1
214,Oak,Quercus robur,24.2,50.2,5.5,0.7,1,P1
215,Cherry,Prunus avium,28.6,57.4,8.0,0.72,1,P1
216,Walnut,Juglans regia,39.7,67.4,9.3,0.61,1,P1
217,Cypress,Cupressus sempervirens,22.1,49.2,5.8,0.47,1,P1
218,Beech,Fagus sylvatica,24.3,41.1,11.2,0.67,1,P1
219,Larch,Larix decidua,30.4,63.8,8.9,0.59,1,P1
220,Ash,Fraxinus excelsior,29.2,67.3,9.3,0.67,1,P1
221,Spruce,Picea abies,22.8,62.2,7.0,0.43,1,P1
222,Pine,Pinus sylvestris,26.3,40.2,8.3,0.45,1,P1
223,Walnut,Juglans regia,33.6,56.6,7.3,0.61,1,P1
224,Larch,Larix decidua,30.5,46.8,5.7,0.59,1,P1
225,Oak,Quercus robur,27.6,48.8,6.3,0.7,1,P1
226,Redwood,Sequoia sempervirens,20.3,40.6,3.5,0.48,1,P1
227,Beech,Fagus sylvatica,27.9,40.6,8.9,0.67,1,P1
228,Beech,Fagus sylvatica,29.4,65.7,4.3,0.67,1,P1
229,Pine,Pinus sylvestris,25.8,61.5,7.0,0.45,1,P1
230,Birch,Betula pendula,31.7,59.0,6.4,0.67,1,P1
231,Maple,Acer saccharum,36.4,74.2,13.3,0.71,1,P1
232,Fir,Abies alba,22.2,45.3,6.7,0.42,1,P1
233,Cypress,Cupressus sempervirens,24.3,42.1,4.3,0.47,1,P1
234,Walnut,Juglans regia,27.2,44.8,8.4,0.61,1,P1
235,Magnolia,Magnolia grandiflora,25.4,54.0,4.7,0.6,1,P1
236,Magnolia,Magnolia grandiflora,26.3,65.5,11.8,0.6,1,P1
237,Spruce,Picea abies,26.1,46.5,4.0,0.43,1,P1
238,Magnolia,Magnolia grandiflora,24.6,43.8,5.5,0.6,1,P1
239,Hemlock,Tsuga canadensis,25.2,40.8,4.6,0.45,1,P1
240,Locust,Robinia pseudoacacia,26.5,53.1,7.2,0.69,1,P1
241,Fir,Abies alba,28.9,47.1,7.6,0.42,1,P1
242,Walnut,Juglans regia,23.2,52.2,5.3,0.61,1,P1
243,Cherry,Prunus avium,33.5,68.1,9.8,0.72,1,P1
244,Fir,Abies alba,32.7,66.0,5.8,0.42,1,P1
245,Spruce,Picea abies,21.7,41.7,5.0,0.43,1,P1
246,Beech,Fagus sylvatica,38.6,74.8,11.2,0.67,1,P1
247,Yew,Taxus baccata,20.9,59.5,6.9,0.64,1,P1
248,Beech,Fagus sylvatica,29.0,58.7,12.7,0.67,1,P1
249,Walnut,Juglans regia,23.2,57.7,6.2,0.61,1,P1
250,Pine,Pinus sylvestris,27.3,42.7,5.3,0.45,1,P1
251,Pine,Pinus sylvestris,25.7,41.1,5.0,0.45,1,P1
252,Locust,Robinia pseudoacacia,22.4,47.7,7.7,0.69,1,P1
253,Cypress,Cupressus sempervirens,23.1,44.9,7.4,0.47,1,P1
254,Magnolia,Magnolia grandiflora,23.6,49.7,6.1,0.6,1,P1
255,Yew,Taxus baccata,36.3,69.8,9.4,0.64,1,P1
256,Birch,Betula pendula,22.3,49.8,5.4,0.67,1,P1
257,Maple,Acer saccharum,30.9,58.5,7.8,0.71,1,P1
258,Redwood,Sequoia sempervirens,24.2,41.3,9.3,0.48,1,P1
259,Cherry,Prunus avium,22.1,43.7,4.4,0.72,1,P1
260,Yew,Taxus baccata,28.9,78.1,10.3,0.64,1,P1
261,Maple,Acer saccharum,20.3,55.2,6.3,0.71,1,P1
262,Beech,Fagus sylvatica,26.0,50.3,4.2,0.67,1,P1
263,Maple,Acer saccharum,21.2,40.9,4.0,0.71,1,P1
264,Oak,Quercus robur,36.2,53.4,9.4,0.7,1,P1
265,Magnolia,Magnolia grandiflora,41.6,81.7,13.4,0.6,1,P1
266,Beech,Fagus sylvatica,35.7,59.4,11.6,0.67,1,P1
267,Hemlock,Tsuga canadensis,21.5,46.0,3.4,0.45,1,P1
268,Redwood,Sequoia sempervirens,32.7,75.8,12.0,0.48,1,P1
269,Magnolia,Magnolia grandiflora,22.7,47.2,5.2,0.6,1,P1
270,Ash,Fraxinus excelsior,20.1,52.3,4.9,0.67,1,P1
271,Poplar,Populus tremula,30.8,57.4,4.8,0.42,1,P1
272,Cedar,Cedrus libani,32.2,56.3,6.0,0.56,1,P1
273,Maple,Acer saccharum,28.1,43.4,7.5,0.71,1,P1
274,Hemlock,Tsuga canadensis,28.2,76.6,9.1,0.45,1,P1
275,Cherry,Prunus avium,26.7,63.0,5.6,0.72,1,P1
276,Oak,Quercus robur,24.9,43.7,5.8,0.7,1,P1
277,Cypress,Cupressus sempervirens,20.2,48.8,7.5,0.47,1,P1
278,Birch,Betula pendula,23.7,49.2,6.2,0.67,1,P1
279,Ash,Fraxinus excelsior,23.9,46.5,5.3,0.67,1,P1
280,Spruce,Picea abies,20.6,40.9,3.9,0.43,1,P1
281,Oak,Quercus robur,45.5,56.1,9.0,0.7,1,P1
282,Spruce,Picea abies,27.4,63.5,3.6,0.43,1,P1
283,Larch,Larix decidua,23.1,50.6,4.1,0.59,1,P1
284,Larch,Larix decidua,26.5,75.1,4.6,0.59,1,P1
285,Beech,Fagus sylvatica,22.6,46.8,4.3,0.67,1,P1
286,Pine,Pinus sylvestris,24.0,41.4,3.5,0.45,1,P1
287,Fir,Abies alba,24.0,40.7,3.9,0.42,1,P1
288,Beech,Fagus sylvatica,35.4,78.9,8.2,0.67,1,P1
289,Birch,Betula pendula,20.7,51.2,3.1,0.67,1,P1
290,Poplar,Populus tremula,24.5,45.5,4.4,0.42,1,P1
291,Oak,Quercus robur,30.4,64.6,7.8,0.7,1,P1
292,Locust,Robinia pseudoacacia,27.9,60.8,8.4,0.69,1,P1
293,Birch,Betula pendula,28.8,66.8,7.7,0.67,1,P1
294,Cedar,Cedrus libani,32.6,48.3,3.6,0.56,1,P1
295,Walnut,Juglans regia,38.1,89.9,9.1,0.61,1,P1
296,Magnolia,Magnolia grandiflora,20.6,43.0,3.1,0.6,1,P1
297,Locust,Robinia pseudoacacia,42.1,64.4,11.5,0.69,1,P1
298,Cedar,Cedrus libani,31.0,79.4,6.3,0.56,1,P1
299,Spruce,Picea abies,23.0,44.4,5.4,0.43,1,P1
300,Walnut,Juglans regia,28.1,75.2,7.5,0.61,1,P1
301,Larch,Larix decidua,25.1,53.9,6.9,0.59,1,P1
302,Pine,Pinus sylvestris,29.8,50.4,5.8,0.45,1,P1
303,Walnut,Juglans regia,28.0,63.8,6.0,0.61,1,P1
304,Fir,Abies alba,24.5,63.9,9.4,0.42,1,P1
305,Poplar,Populus tremula,28.4,41.0,5.0,0.42,1,P1
306,Larch,Larix decidua,23.1,48.6,8.2,0.59,1,P1
307,Redwood,Sequoia sempervirens,39.3,73.7,12.7,0.48,1,P1
308,Ash,Fraxinus excelsior,24.0,45.1,5.1,0.67,1,P1
309,Maple,Acer saccharum,38.4,49.7,8.3,0.71,1,P1
310,Pine,Pinus sylvestris,32.0,87.9,13.3,0.45,1,P1
311,Cedar,Cedrus libani,36.1,46.7,11.1,0.56,1,P1
312,Walnut,Juglans regia,24.8,65.1,4.8,0.61,1,P1
313,Pine,Pinus sylvestris,36.0,64.3,12.7,0.45,1,P1
314,Redwood,Sequoia sempervirens,22.1,63.6,4.4,0.48,1,P1
315,Beech,Fagus sylvatica,21.7,40.5,8.9,0.67,1,P1
316,Hemlock,Tsuga canadensis,31.5,42.8,6.2,0.45,1,P1
317,Fir,Abies alba,24.8,49.5,4.6,0.42,1,P1
318,Walnut,Juglans regia,38.7,61.4,5.5,0.61,1,P1
319,Cherry,Prunus avium,34.1,66.4,12.6,0.72,1,P1
320,Pine,Pinus sylvestris,27.6,62.7,6.1,0.45,1,P1
321,Birch,Betula pendula,24.1,47.6,3.7,0.67,1,P1
322,Fir,Abies alba,28.5,58.9,10.9,0.42,1,P1
323,Cedar,Cedrus libani,34.1,69.6,7.0,0.56,1,P1
324,Redwood,Sequoia sempervirens,26.2,60.7,3.9,0.48,1,P1
325,Spruce,Picea abies,30.9,46.3,6.2,0.43,1,P1
326,Beech,Fagus sylvatica,27.7,59.4,3.7,0.67,1,P2
327,Yew,Taxus baccata,20.7,40.8,3.3,0.64,1,P2
328,Oak,Quercus robur,29.2,48.2,5.0,0.7,1,P2
329,Locust,Robinia pseudoacacia,29.2,49.8,14.5,0.69,1,P2
330,Larch,Larix decidua,20.2,43.8,4.1,0.59,1,P2
331,Locust,Robinia pseudoacacia,33.3,55.8,6.4,0.69,1,P2
332,Spruce,Picea abies,37.3,51.2,7.8,0.43,1,P2
333,Cedar,Cedrus libani,24.4,51.5,7.9,0.56,1,P2
334,Fir,Abies alba,34.1,72.6,8.8,0.42,1,P2
335,Pine,Pinus sylvestris,20.7,59.8,3.7,0.45,1,P2
336,Walnut,Juglans regia,41.8,76.0,11.3,0.61,1,P2
337,Ash,Fraxinus excelsior,35.8,43.1,14.6,0.67,1,P2
338,Walnut,Juglans regia,21.2,44.7,6.4,0.61,1,P2
339,Cherry,Prunus avium,33.4,42.6,7.5,0.72,1,P2
340,Cypress,Cupressus sempervirens,20.2,43.8,3.4,0.47,1,P2
341,Beech,Fagus sylvatica,24.1,48.9,7.4,0.67,1,P2
342,Oak,Quercus robur,28.0,63.0,6.5,0.7,1,P2
343,Hemlock,Tsuga canadensis,37.3,57.8,12.9,0.45,1,P2
344,Fir,Abies alba,20.8,43.0,3.4,0.42,1,P2
345,Pine,Pinus sylvestris,21.5,47.5,3.4,0.45,1,P2
346,Cherry,Prunus avium,36.1,72.3,11.0,0.72,1,P2
347,Beech,Fagus sylvatica,21.1,42.0,4.3,0.67,1,P2
348,Cherry,Prunus avium,29.2,43.0,5.5,0.72,1,P2
349,Yew,Taxus baccata,33.0,63.3,4.0,0.64,1,P2
350,Ash,Fraxinus excelsior,24.9,44.1,4.0,0.67,1,P2
351,Cypress,Cupressus sempervirens,29.4,43.6,13.2,0.47,1,P2
352,Ash,Fraxinus excelsior,39.1,74.6,12.3,0.67,1,P2
353,Redwood,Sequoia sempervirens,22.9,56.0,6.5,0.48,1,P2
354,Cedar,Cedrus libani,25.0,42.8,4.7,0.56,1,P2
355,Hemlock,Tsuga canadensis,24.6,65.9,6.6,0.45,1,P2
356,Poplar,Populus tremula,25.5,42.2,4.3,0.42,1,P2
357,Poplar,Populus tremula,22.9,43.6,6.4,0.42,1,P2
358,Yew,Taxus baccata,21.0,47.5,3.9,0.64,1,P2
359,Fir,Abies alba,43.6,78.4,15.6,0.42,1,P2
360,Yew,Taxus baccata,41.3,83.3,17.0,0.64,1,P2
361,Fir,Abies alba,20.9,44.4,6.5,0.42,1,P2
362,Cypress,Cupressus sempervirens,23.4,53.5,7.0,0.47,1,P2
363,Larch,Larix decidua,30.4,50.2,4.0,0.59,1,P2
364,Yew,Taxus baccata,28.7,71.9,4.8,0.64,1,P2
365,Willow,Salix alba,27.6,58.3,5.9,0.47,1,P2
366,Pine,Pinus sylvestris,25.9,43.4,3.7,0.45,1,P2
367,Locust,Robinia pseudoacacia,20.7,67.3,4.2,0.69,1,P2
368,Yew,Taxus baccata,26.8,57.8,8.2,0.64,1,P2
369,Maple,Acer saccharum,29.8,42.8,9.2,0.71,1,P2
370,Cedar,Cedrus libani,20.1,41.9,8.9,0.56,1,P2
371,Birch,Betula pendula,40.1,95.2,12.5,0.67,1,P2
372,Locust,Robinia pseudoacacia,37.3,65.1,10.8,0.69,1,P2
373,Redwood,Sequoia sempervirens,23.3,55.9,7.2,0.48,1,P2
374,Hemlock,Tsuga canadensis,30.5,51.3,6.2,0.45,1,P2
375,Maple,Acer saccharum,24.9,47.7,5.6,0.71,1,P2
376,Oak,Quercus robur,27.0,47.0,5.8,0.7,1,P2
377,Redwood,Sequoia sempervirens,31.1,74.6,3.5,0.48,1,P2
378,Cedar,Cedrus libani,21.0,48.6,3.4,0.56,1,P2
379,Poplar,Populus tremula,22.6,47.2,6.4,0.42,1,P2
380,Fir,Abies alba,37.5,59.7,14.0,0.42,1,P2
381,Ash,Fraxinus excelsior,20.4,43.0,3.0,0.67,1,P2
382,Ash,Fraxinus excelsior,21.9,51.4,3.8,0.67,1,P2
383,Pine,Pinus sylvestris,27.7,51.3,4.3,0.45,1,P2
384,Pine,Pinus sylvestris,28.6,59.1,8.5,0.45,1,P2
385,Ash,Fraxinus excelsior,22.2,50.4,5.9,0.67,1,P2
