Tree SNO,SPECIES,DB(cm),DIAMETER,HEIGHT,CROWN-DIAMETER,LOCATION
33,Daniella oliveri,12.1,10.2,10,7.4,L1
34,Daniella oliveri,12.1,11.1,10.9,6.4,L1
35,Daniella oliveri,13.4,11.6,7.5,10.2,L1
36,Daniella oliveri,8.0,7.0,5,4.6,L1
37,Daniella oliveri,8.6,6.7,6,5.1,L1
38,Daniella oliveri,7.8,6.2,5.5,3.7,L1
39,Daniella oliveri,6.7,4.8,5,4.4,L1
40,Daniella oliveri,8.3,8.0,6,4.7,L1
41,Daniella oliveri,14.6,10.7,10.9,8.1,L1
42,Daniella oliveri,14.6,14.3,9,5.5,L1
43,Daniella oliveri,13.2,11.5,9,8.2,L1
44,Daniella oliveri,15.4,12.4,11.8,7.9,L1
45,Daniella oliveri,10.7,9.1,7.8,6.8,L1
46,Daniella oliveri,11.5,8.3,8,7.1,L1
47,Daniella oliveri,8.0,6.8,8,4.4,L1
48,Daniella oliveri,8.5,6.9,8,4.9,L1
49,Daniella oliveri,16.9,13.7,9,10.7,L1
50,Daniella oliveri,8.3,7.3,5,6.4,L1
51,Daniella oliveri,11.5,8.0,5.5,5.3,L2
52,Daniella oliveri,10.2,8.0,5.8,7.3,L2
53,Daniella oliveri,10.2,7.8,5.8,7.4,L2
54,Daniella oliveri,17.8,15.1,12.5,8.7,L2
55,Daniella oliveri,16.5,14.2,9,9.9,L2
56,Daniella oliveri,22.3,17.2,15.3,13.8,L2
57,Daniella oliveri,10.2,9.5,8,7.2,L2
58,Daniella oliveri,15.3,13.0,10,9.8,L2
59,Daniella oliveri,22.3,18.1,16.1,14.2,L2
60,Daniella oliveri,14.6,13.2,11,9.6,L2
61,Daniella oliveri,14.3,10.9,10.9,7.0,L2
62,Daniella oliveri,24.5,21.3,18.6,15.5,L2
63,Daniella oliveri,20.7,16.7,14.5,11.2,L3
64,Daniella oliveri,22.6,16.5,14.8,13.1,L3
65,Daniella oliveri,9.5,8.3,5.5,5.9,L3
66,Daniella oliveri,7.0,5.7,4,3.3,L3
67,Daniella oliveri,6.7,5.1,4.5,3.6,L3
68,Daniella oliveri,8.3,5.7,4.8,4.6,L3
69,Daniella oliveri,10.8,8.3,6,5.9,L3
70,Daniella oliveri,8.0,3.0,5.5,4.8,L3
71,Daniella oliveri,14.3,11.8,8,7.8,L3
72,Daniella oliveri,18.5,15.8,12.6,10.0,L3
73,Daniella oliveri,7.6,6.2,6,5.0,L3
74,Daniella oliveri,7.8,6.2,5.5,4.3,L3
75,Daniella oliveri,23.9,18.8,15.8,15.1,L3
76,Daniella oliveri,15.8,14.5,9.5,8.8,L3
77,Daniella oliveri,9.4,8.1,8.5,6.4,L3
78,Daniella oliveri,8.9,8.1,6,5.3,L3
79,Daniella oliveri,14.6,11.6,11.5,7.9,L3
80,Daniella oliveri,10.8,9.7,9.5,6.7,L3
81,Daniella oliveri,13.4,10.8,9,6.7,L3
82,Daniella oliveri,12.4,10.7,9.5,7.7,L3
83,Daniella oliveri,15.1,11.9,10.9,6.3,L3
84,Daniella oliveri,16.5,13.4,9,9.7,L3
85,Daniella oliveri,9.9,8.3,7.5,6.8,L3
86,Daniella oliveri,12.7,10.7,8,7.9,L3
87,Daniella oliveri,14.0,12.1,11.5,8.7,L3
88,Daniella oliveri,15.0,11.3,10.9,8.8,L3
89,Daniella oliveri,11.6,9.1,8,6.4,L3
90,Daniella oliveri,11.6,9.1,8,6.3,L3
91,Daniella oliveri,12.7,10.5,9.5,6.3,L3
92,Daniella oliveri,11.8,8.9,8,7.2,L3
93,Daniella oliveri,14.1,10.0,10.3,5.4,L3
94,Daniella oliveri,19.1,14.8,10,9.7,L3
95,Daniella oliveri,12.1,8.0,8,7.1,L3
96,Daniella oliveri,10.5,8.6,8,5.2,L3
97,Daniella oliveri,15.8,13.8,9.8,7.9,L3
98,Daniella oliveri,14.0,10.8,10.9,7.1,L3
99,Daniella oliveri,18.0,13.7,9,7.8,L3
100,Daniella oliveri,14.6,12.4,9.5,9.5,L3
101,Daniella oliveri,7.5,5.9,6,6.0,L3
102,Daniella oliveri,14.3,11.5,9,8.9,L3
103,Daniella oliveri,12.4,10.8,10.9,8.5,L3
104,Daniella oliveri,12.1,10.5,9,7.9,L3
105,Daniella oliveri,13.7,10.2,10,6.9,L4
106,Daniella oliveri,16.5,15.3,11,8.2,L4
107,Daniella oliveri,14.6,12.4,10,9.5,L4
108,Daniella oliveri,14.5,12.6,10,8.2,L4
109,Daniella oliveri,10.2,8.9,9,5.5,L4
110,Daniella oliveri,10.7,9.7,9,5.5,L4
111,Daniella oliveri,17.5,15.0,10,10.0,L4
112,Daniella oliveri,12.4,8.3,6,7.6,L4
113,Daniella oliveri,8.0,5.6,6.2,4.8,L4
114,Daniella oliveri,7.0,5.4,6,3.7,L4
115,Daniella oliveri,7.6,5.4,6,3.6,L4
116,Daniella oliveri,23.9,20.7,17.7,17.5,L4
117,Daniella oliveri,10.7,6.8,7,5.0,L4
118,Daniella oliveri,8.4,5.7,6,5.1,L4
119,Daniella oliveri,17.8,15.4,9.7,9.8,L4
120,Daniella oliveri,18.0,13.0,10,8.4,L4
121,Daniella oliveri,20.7,17.0,16.1,10.2,L4
122,Daniella oliveri,13.0,12.9,10.5,8.9,L4
123,Daniella oliveri,14.2,12.6,10,7.4,L4
124,Daniella oliveri,7.6,6.7,8,5.3,L4
125,Daniella oliveri,17.8,15.0,11,10.9,L4
126,Daniella oliveri,19.1,15.3,10,10.5,L4
127,Daniella oliveri,14.2,12.1,11,8.8,L4
128,Daniella oliveri,14.5,9.7,9.1,6.0,L4
129,Daniella oliveri,18.1,13.8,11,10.0,L4
130,Daniella oliveri,9.1,6.5,9,5.8,L4
131,Daniella oliveri,13.0,11.3,10.5,7.3,L4
132,Daniella oliveri,17.8,14.8,11.5,10.6,L4
133,Daniella oliveri,12.4,11.1,9.5,7.5,L4
134,Daniella oliveri,12.4,1.0,5.5,7.3,L4
135,Daniella oliveri,9.9,10.8,10.9,5.6,L4
136,Daniella oliveri,15.6,11.9,10.4,8.5,L4
137,Daniella oliveri,9.7,8.8,8,5.8,L4
138,Daniella oliveri,12.3,10.5,8,6.4,L4
139,Daniella oliveri,8.9,7.5,7,3.9,L4
140,Daniella oliveri,11.5,8.8,7,6.7,L4
141,Daniella oliveri,9.5,7.4,6.5,6.5,L4
142,Daniella oliveri,8.9,7.0,7,4.6,L4
143,Daniella oliveri,11.1,8.9,7.5,6.9,L4
144,Daniella oliveri,18.5,18.1,17.5,11.8,L4
145,Daniella oliveri,11.9,9.9,11,5.8,L4
146,Daniella oliveri,8.6,7.8,6.5,6.1,L4
147,Daniella oliveri,8.9,5.6,6.9,6.1,L4
148,Daniella oliveri,9.5,7.7,8.5,4.6,L4
149,Daniella oliveri,7.0,5.6,6,4.0,L4
150,Daniella oliveri,7.0,5.7,8,3.9,L4
151,Daniella oliveri,10.0,8.3,10,5.0,L4
152,Daniella oliveri,7.6,6.7,9,4.1,L4
153,Daniella oliveri,15.6,12.7,10,8.9,L4
154,Daniella oliveri,15.8,12.6,11,9.1,L5
155,Daniella oliveri,9.2,7.0,10,4.9,L5
156,Daniella oliveri,10.2,9.1,8,6.6,L5
157,Daniella oliveri,9.2,6.8,10,5.7,L5
158,Daniella oliveri,8.9,7.6,9.5,5.6,L5
159,Daniella oliveri,9.2,7.0,9,5.1,L5
160,Daniella oliveri,9.2,8.6,10,5.8,L5
161,Daniella oliveri,10.8,7.8,10,4.9,L5
162,Daniella oliveri,20.1,17.2,15.9,12.9,L5
163,Daniella oliveri,12.4,10.8,10,6.5,L5
164,Daniella oliveri,11.3,8.6,10,5.4,L5
165,Daniella oliveri,7.6,5.7,6.5,3.8,L5
166,Daniella oliveri,7.3,5.1,7,3.8,L5
167,Daniella oliveri,8.3,7.0,7,3.8,L5
168,Daniella oliveri,7.3,6.4,6.5,3.5,L5
169,Daniella oliveri,9.4,7.6,8,4.8,L5
170,Daniella oliveri,12.4,8.9,8,6.0,L5
171,Daniella oliveri,9.2,7.5,8.5,3.7,L5
172,Daniella oliveri,9.5,8.4,10,4.7,L5
173,Daniella oliveri,12.7,10.8,9.5,4.2,L5
174,Daniella oliveri,11.5,9.5,10,6.6,L5
175,Daniella oliveri,9.5,9.2,8,4.3,L5
176,Daniella oliveri,8.0,6.0,9,3.7,L5
177,Daniella oliveri,11.5,9.9,9.5,6.7,L5
178,Daniella oliveri,15.8,14.5,10,7.5,L5
179,Daniella oliveri,7.3,4.6,7,3.4,L5
180,Daniella oliveri,8.0,6.4,8,3.1,L5
181,Daniella oliveri,8.9,7.3,8.5,5.1,L5
182,Daniella oliveri,11.8,9.5,9,7.5,L5
183,Daniella oliveri,7.5,5.6,5.9,5.6,L5
184,Daniella oliveri,6.4,5.4,7,4.1,L5
185,Daniella oliveri,17.2,14.6,10.5,10.1,L5
186,Daniella oliveri,10.8,4.9,9,6.4,L5
187,Daniella oliveri,10.8,7.3,9,6.4,L5
188,Daniella oliveri,15.6,12.2,10.5,7.6,L5
189,Daniella oliveri,23.7,11.3,10,9.2,L5
190,Daniella oliveri,16.5,12.1,11,9.0,L5
191,Daniella oliveri,8.3,5.7,5.9,4.6,L5
192,Daniella oliveri,8.6,6.4,6.5,5.2,L5
193,Daniella oliveri,14.0,8.8,10.5,7.5,L5
194,Daniella oliveri,20.5,15.6,11.5,11.9,L5
195,Daniella oliveri,15.0,12.3,10.5,6.3,L5
196,Daniella oliveri,11.6,9.4,9,6.1,L5
197,Daniella oliveri,18.1,14.7,10.5,8.9,L5
198,Daniella oliveri,12.4,10.2,10,6.3,L5
199,Daniella oliveri,8.4,7.0,9.5,5.8,L5
200,Daniella oliveri,6.7,4.5,7.5,3.5,L5
201,Daniella oliveri,19.1,16.2,13.9,13.2,L5
202,Daniella oliveri,6.5,4.8,6,4.6,L6
203,Daniella oliveri,17.5,16.2,15.6,11.5,L6
204,Daniella oliveri,15.0,11.8,10,7.8,L6
205,Daniella oliveri,10.8,9.3,9.3,6.8,L6
206,Daniella oliveri,9.5,6.7,8,4.5,L6
207,Daniella oliveri,10.2,8.1,10,4.8,L6
208,Daniella oliveri,10.3,8.6,9,6.2,L6
209,Daniella oliveri,14.3,11.8,10,8.5,L6
210,Daniella oliveri,10.8,7.3,8.5,5.6,L6
211,Daniella oliveri,17.5,13.4,11.5,9.0,L6
212,Daniella oliveri,6.7,5.4,7,4.5,L6
213,Daniella oliveri,9.2,7.1,7.5,4.8,L6
214,Daniella oliveri,11.5,9.4,9.3,7.5,L6
215,Daniella oliveri,14.8,11.8,11,7.7,L6
216,Daniella oliveri,14.6,12.6,10.5,7.4,L6
217,Daniella oliveri,11.3,8.0,10,5.8,L6
218,Daniella oliveri,12.7,10.3,10,7.8,L7
219,Daniella oliveri,27.1,23.6,18.9,16.9,L7
220,Daniella oliveri,11.5,9.1,8,7.9,L8
221,Daniella oliveri,11.8,9.9,11.5,9.5,L8
222,Daniella oliveri,8.6,5.7,5.9,4.9,L8
223,Daniella oliveri,25.3,23.2,20,16.3,L8
224,Daniella oliveri,2.5,23.9,19.2,16.6,L8
225,Daniella oliveri,7.3,5.2,7.5,4.8,L8
226,Daniella oliveri,7.0,5.4,6.8,8.2,L8
227,Daniella oliveri,7.5,5.7,5.9,8.9,L8
228,Daniella oliveri,7.3,5.6,6.8,9.0,L8
229,Daniella oliveri,8.5,5.9,4.5,8.7,L8
230,Daniella oliveri,9.5,8.3,10.5,8.9,L8
231,Daniella oliveri,8.3,6.8,9.5,8.1,L8
232,Daniella oliveri,8.6,6.6,10,7.8,L8
233,Daniella oliveri,11.1,7.8,12,9.2,L8
234,Daniella oliveri,8.1,4.6,6,9.3,L8
235,Daniella oliveri,7.5,6.0,10.5,8.9,L8
236,Daniella oliveri,25.8,23.2,20,17.5,L8
237,Daniella oliveri,10.2,8.3,12,9.6,L8
238,Daniella oliveri,16.1,12.9,12.5,9.3,L8
239,Daniella oliveri,16.5,13.2,12.5,9.2,L8
240,Daniella oliveri,14.0,11.5,11,9.3,L8
241,Daniella oliveri,12.1,8.6,11.5,8.9,L8
242,Daniella oliveri,13.4,11.8,11,9.5,L8
243,Daniella oliveri,12.4,10.3,10.2,8.8,L8
244,Daniella oliveri,10.3,7.6,11,8.3,L9
245,Daniella oliveri,9.9,8.0,10.5,8.7,L9
246,Daniella oliveri,10.5,7.8,10,7.4,L9
247,Daniella oliveri,28.3,24.8,20.3,17.3,L9
248,Daniella oliveri,12.7,11.1,10,7.8,L9
249,Daniella oliveri,20.1,15.3,10.5,11.6,L9
250,Daniella oliveri,16.5,15.1,9.5,6.9,L9
251,Daniella oliveri,13.4,12.7,10.5,6.6,L9
252,Daniella oliveri,15.0,12.7,10,8.0,L9
253,Daniella oliveri,10.2,8.4,8,6.1,L9
254,Daniella oliveri,10.6,8.4,8,6.1,L9
255,Daniella oliveri,10.6,8.4,7.5,6.9,L9
256,Daniella oliveri,12.8,11.5,11,6.3,L9
257,Daniella oliveri,13.0,12.2,11.5,8.8,L9
258,Daniella oliveri,10.5,8.7,9,5.7,L9
259,Daniella oliveri,13.4,11.2,12,10.7,L9
260,Daniella oliveri,7.3,5.4,7.7,4.8,L9
261,Daniella oliveri,8.6,5.6,8.5,5.0,L9
262,Daniella oliveri,9.0,5.8,4.9,5.0,L10
263,Daniella oliveri,17.5,16.5,13.2,12.4,L10
264,Daniella oliveri,14.3,12.2,11.5,9.7,L10
265,Daniella oliveri,12.1,10.8,11,8.1,L10
266,Daniella oliveri,13.4,11.7,10.5,8.0,L10
267,Daniella oliveri,14.3,11.8,11,8.1,L10
268,Daniella oliveri,15.1,11.5,13,8.6,L10
269,Daniella oliveri,10.2,8.0,8,6.1,L10
270,Daniella oliveri,8.9,6.7,10.5,7.3,L10
271,Daniella oliveri,9.9,8.1,11,7.9,L10
272,Daniella oliveri,10.2,8.7,10,8.4,L10
273,Daniella oliveri,17.6,15.6,10.5,9.8,L11
274,Daniella oliveri,16.2,13.4,10,8.1,L11
275,Daniella oliveri,13.7,12.3,11,7.7,L11
276,Daniella oliveri,19.1,14.6,11.5,9.9,L11
277,Daniella oliveri,18.1,13.9,11,9.4,L11
278,Daniella oliveri,17.8,14.8,10.5,8.7,L11
279,Daniella oliveri,12.4,10.6,9,7.0,L11
280,Daniella oliveri,9.7,8.6,8,6.1,L11
281,Daniella oliveri,12.2,10.5,9,7.0,L11
282,Daniella oliveri,11.5,9.9,10,6.4,L11
283,Daniella oliveri,15.7,14.4,9.5,7.1,L11
284,Daniella oliveri,8.9,7.6,8,4.7,L11
285,Daniella oliveri,7.5,5.5,8,6.0,L11
286,Daniella oliveri,16.5,12.5,11,9.1,L11
287,Daniella oliveri,15.1,10.9,11,8.5,L11
288,Daniella oliveri,15.3,10.5,10,6.9,L11
289,Daniella oliveri,12.9,11.4,11,8.2,L11
290,Daniella oliveri,20.7,17.6,16.1,13.5,L11
291,Daniella oliveri,10.5,8.4,7,6.6,L11
292,Daniella oliveri,12.1,10.3,8.5,7.3,L11
293,Daniella oliveri,13.0,11.6,9.5,8.1,L11
294,Daniella oliveri,11.5,10.3,8,7.5,L11
295,Daniella oliveri,14.6,10.6,9,8.0,L11
296,Daniella oliveri,8.0,6.7,7,4.2,L11
297,Daniella oliveri,22.3,16.9,15.2,12.1,L11
298,Daniella oliveri,24.5,21.4,18.1,15.2,L11
299,Daniella oliveri,11.5,8.0,8.5,5.6,L11
300,Daniella oliveri,17.8,14.8,9.5,8.4,L11
