Tree SNO,Tree PNO,SPECIES,DB(cm),DIAMETER,HEIGHT,CROWN-DIAMETER,Plot
156,5,Detarium microcarpum,11,9.9,12.1,8.3,P6
157,6,Gmelina arborea,11.6,9.9,11,8.9,P6
158,7,Gmelina arborea,11.1,9.7,11.5,9.6,P6
159,8,Gmelina arborea,7,5.7,8.3,7.25,P6
160,9,Gmelina arborea,6.7,5.6,10,7.8,P6
161,10,Daniella oliveri,26.9,24,23.8,13.1,P6
162,11,Azadirachta indica,18.5,15,16.8,15.45,P6
163,12,Gmelina arborea,9.2,7.8,11.5,6.95,P6
164,13,Gmelina arborea,9.1,7.7,10.7,5.75,P6
165,14,Gmelina arborea,8.9,7.6,9.2,5.35,P6
166,15,Hannoa undulata,10.3,6.1,7.8,4.35,P6
167,16,Hannoa undulata,10.3,9.2,11.3,8.25,P6
168,17,Gmelina arborea,12.4,10.5,7.8,10.25,P6
169,18,Hannoa undulata,8,6,8.2,9.5,P6
170,19,Daniella oliveri,10.8,9.2,9.9,6.3,P6
171,20,Terminalia mentalis,7.3,7,11.3,7.55,P6
172,21,Terminalia mentalis,9.2,8.1,11,7.2,P6
173,22,Lophira lanceolata,10.8,8,5.6,5.55,P6
174,23,Lophira lanceolata,10.8,7.6,6,6.5,P6
175,24,Gmelina arborea,19.1,15.4,10.5,14.1,P6
176,25,Gmelina arborea,16.5,15.6,14.3,11.45,P6
177,26,Gmelina arborea,11.6,9.9,11.4,6.1,P6
178,27,Gmelina arborea,8.6,7.2,9,5.4,P6
179,28,Detarium microcarpum,8.9,7,5.5,4,P6
180,29,Detarium microcarpum,11.8,9.9,12.1,6.3,P6
181,30,Lophira lanceolata,8,7,10.5,3.75,P6
182,31,Parinari curitellifolia,6.4,6,5,3.9,P6
183,32,Crossopteryx febrifuga,15.9,13.4,16.3,11.3,P6
184,1,Daniella oliveri,11.5,9.4,14.5,6.65,P7
185,2,Daniella oliveri,8.3,8.1,10.7,5.55,P7
186,3,Parinari curitellifolia,7.3,6,5.4,7.4,P7
187,4,Daniella oliveri,8.3,7,10.6,5.05,P7
188,5,Azadirachta indica,9.1,7.3,12,7.65,P7
189,6,Detarium microcarpum,8.4,7.2,7.9,7.15,P7
190,7,Lophira lanceolata,8,6.5,9.8,4.55,P7
191,8,Azadirachta indica,10.2,8.3,7.5,8.1,P7
192,9,Detarium microcarpum,10.2,7,5,4.65,P7
193,10,Detarium microcarpum,7.3,6.3,4.5,7.65,P7
194,11,Azadirachta indica,9.9,8.6,8.5,7.05,P7
195,12,Azadirachta indica,6.7,5.4,5.1,3.55,P7
196,13,Detarium microcarpum,6.7,5.9,5.6,3.1,P7
197,14,Detarium microcarpum,8,7.6,8.3,6.05,P7
198,15,Lophira lanceolata,7,6,8.7,2.85,P7
199,16,Detarium microcarpum,10.2,8.4,11.3,6.95,P7
200,17,Kuassia undulata,15,14.5,15.3,8.9,P7
201,18,Scrychinos spinosa,7,5.4,3.3,2.7,P7
202,19,Lophira lanceolata,9.9,9.5,11.9,3.9,P7
203,20,Lophira lanceolata,6.4,6.2,6.7,3.9,P7
204,21,Lophira lanceolata,7.3,6.5,7.1,3,P7
205,22,Lophira lanceolata,6.7,5.7,7.5,3.85,P7
206,23,Kuassia undulata,14.6,11,13.7,8.95,P7
207,24,Terminalia mentalis,8.3,7.2,8,4.55,P7
208,25,Lophira lanceolata,7.3,6.4,9,2.95,P7
209,26,Burkea africana,8.1,7.3,9.2,6.85,P7
210,27,Lophira lanceolata,7.6,6.4,6.6,2.55,P7
211,28,Detarium microcarpum,15.4,13.4,12.5,5.9,P7
212,29,Hannoa undulata,8.9,8,7,4.55,P7
213,1,Detarium microcarpum,15.4,13.4,11.9,8.8,P8
214,2,Detarium microcarpum,10.8,10.4,4,6.85,P8
215,3,Hannoa undulata,8.9,8,10.3,4.55,P8
216,4,Lophira lanceolata,11.1,9.7,10.1,8.3,P8
217,5,Detarium microcarpum,10.5,10.2,14.5,8,P8
218,6,Parinari curitellifolia,8.6,8,5.7,6.6,P8
219,7,Lophira lanceolata,8,7.1,8.5,4.2,P8
220,8,Kuassia undulata,11.1,9.9,7.2,8.1,P8
221,9,Kuassia undulata,9.5,8.1,7.9,4.65,P8
222,10,Kuassia undulata,9.9,8.8,12.4,5,P8
223,11,Azadirachta indica,8,6.8,9.9,7.7,P8
224,12,Daniella oliveri,8.6,7.6,7,4.65,P8
225,13,Lophira lanceolata,8,7.8,9,3.55,P8
226,14,Azadirachta indica,7,5.6,8.3,6.25,P8
227,15,Hannoa undulata,10.2,8.3,9.4,5.35,P8
228,16,Daniella oliveri,14.3,12.1,10.2,7.95,P8
229,17,Parinari curitellifolia,15.9,14,13.7,10.5,P8
230,18,Daniella oliveri,11.8,6.8,8,8.35,P8
231,19,Trichilia emetica,7.3,6.5,8,4.5,P8
232,20,Trichilia emetica,7,5.1,7.7,3.7,P8
233,21,Daniella oliveri,8,6.7,8.7,4.65,P8
234,22,Trichilia emetica,7,6.4,8.2,3.2,P8
235,23,Daniella oliveri,14.2,12.6,14.3,10.95,P8
236,24,Pericopsis laxiflora,6.4,5.4,7.1,6.3,P8
237,25,Azadirachta indica,8.3,7,6.2,6.65,P8
238,26,Daniella oliveri,11.5,8.8,10.2,5.95,P8
239,27,Daniella oliveri,9.9,8.3,10.4,6.75,P8
240,28,Daniella oliveri,15,13.7,12.9,10.4,P8
241,29,Azadirachta indica,11.5,9.5,11,9.7,P8
242,30,Daniella oliveri,14.2,12.3,10,9.55,P8
243,31,Gmelina arborea,22.5,19.4,16.3,12.75,P8
244,32,Scrychinos spinosa,10.2,8.3,10.1,8.4,P8
245,33,Vitellaria paradoxa,13,12.1,12.6,11.3,P8
246,34,Vitellaria paradoxa,12.4,10.8,10.5,7.4,P8
247,35,Vitellaria paradoxa,10.8,9.2,12.5,6.85,P8
248,1,Gmelina arborea,7.3,6,10,5.8,P9
249,2,Gmelina arborea,7.3,6.7,7.5,4.4,P9
250,3,Gmelina arborea,10,8.1,14,7.55,P9
251,4,Daniella oliveri,10.4,8.5,10.6,5.25,P9
252,5,Gmelina arborea,8.8,7.1,13,4.85,P9
253,6,Azadirachta indica,6.7,6.4,6.5,6.3,P9
254,7,Gmelina arborea,9.5,7,10.2,5.9,P9
255,8,Daniella oliveri,10.6,8.9,11.5,5.6,P9
256,9,Daniella oliveri,8.4,6.7,8.4,5.1,P9
257,10,Daniella oliveri,9.7,8.4,11.5,4.3,P9
258,11,Daniella oliveri,8.8,7.6,10,3.7,P9
259,12,Gmelina arborea,9.7,7.9,12,5.7,P9
260,13,Daniella oliveri,8.8,7.1,9.8,3.7,P9
261,14,Daniella oliveri,7.7,5.9,8,3.45,P9
262,15,Maranthes polyandra,8.6,6.8,5.2,3.6,P9
263,16,Gmelina arborea,7.3,5.7,10.3,6.05,P9
264,17,Gmelina arborea,10,7.2,11,5.65,P9
265,18,Daniella oliveri,7.7,6.5,9.1,4.35,P9
266,19,Daniella oliveri,7.5,6.4,8.6,4.9,P9
267,20,Burkea africana,6.9,6.4,6.8,5.25,P9
268,21,Gmelina arborea,9.2,7.5,11.5,6.65,P9
269,22,Burkea africana,6.7,5.3,6.9,4.2,P9
270,23,Daniella oliveri,10,8.5,10.3,5.75,P9
271,24,Daniella oliveri,6.7,5.1,9.5,3.35,P9
272,25,Lannea schrimperiana,6.7,5.4,9.3,3.8,P9
273,26,Daniella oliveri,6.5,6.4,8.3,4,P9
274,27,Daniella oliveri,10.5,8.8,10,6.65,P9
275,28,Lannea schrimperiana,6.4,5.2,7,4.25,P9
276,29,Parkia biglobosa,8.6,7.5,9.4,6.45,P9
277,30,Lannea schrimperiana,8.4,7.5,10.1,5.15,P9
278,1,Hannoa undulata,9.5,8.4,7.5,4.8,P10
279,2,Gmelina arborea,17.8,15.7,14,12.6,P10
280,3,Azadirachta indica,6.4,4.8,9.5,3.9,P10
281,4,Gmelina arborea,7.3,6,10,4.55,P10
282,5,Daniella oliveri,14.2,12.7,13,10.9,P10
283,6,Daniella oliveri,19.1,17.3,16.3,11.55,P10
284,7,Hannoa undulata,14.6,11.6,12.7,5.65,P10
285,8,Gmelina arborea,10,8,10,6.85,P10
286,9,Daniella oliveri,8,6.7,8.1,5.7,P10
287,10,Lophira lanceolata,7.3,7,7.5,4.6,P10
288,11,Daniella oliveri,11.9,10.9,14.3,5.6,P10
289,12,Gmelina arborea,20.3,16.9,15,10.15,P10
290,13,Daniella oliveri,10,8.4,8.6,5.05,P10
291,14,Daniella oliveri,7.3,5.9,7.2,5.5,P10
292,15,Albizia zygia,8.9,7,8,5.45,P10
293,16,Daniella oliveri,11.8,10.3,10.76,7.2,P10
294,17,Daniella oliveri,6.7,5.6,8.2,3.4,P10
295,18,Anthocleista djalonensis,7.5,6,9.8,2.9,P10
296,19,Daniella oliveri,8.8,8.4,10.3,6.5,P10
297,20,Albizia zygia,7.6,6.7,10,4.75,P10
298,21,Daniella oliveri,18.5,17.3,15.5,10.2,P10
299,22,Hannoa undulata,14.6,11.3,12.3,6.6,P10
